tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/901712?guid=1652476434194&returnUrl=%2fresultado%2flistar%3fguid%3d1652476434194%26quantidadePaginas%3d1%26codigoRegistro%3d901712%23901712&i=1,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-4252-3710,orcid.org/0000-0002-3159-4839,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/903661?guid=1652476482335&returnUrl=%2fresultado%2flistar%3fguid%3d1652476482335%26quantidadePaginas%3d1%26codigoRegistro%3d903661%23903661&i=1,orcid.org/0000-0002-1180-2637,orcid.org/0000-0003-2046-602X,sem orcid,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/909121?guid=1652476505987&returnUrl=%2fresultado%2flistar%3fguid%3d1652476505987%26quantidadePaginas%3d1%26codigoRegistro%3d909121%23909121&i=4,orcid.org/0000-0002-6023-5982,orcid.org/0000-0001-5746-4154,orcid.org/0000-0002-3823-8941,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/906902?guid=1652476543684&returnUrl=%2fresultado%2flistar%3fguid%3d1652476543684%26quantidadePaginas%3d1%26codigoRegistro%3d906902%23906902&i=1,orcid.org/0000-0003-4462-3325,orcid.org/0000-0002-1067-6421,orcid.org/0000-0002-5259-2859,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/905255?guid=1652476580505&returnUrl=%2fresultado%2flistar%3fguid%3d1652476580505%26quantidadePaginas%3d1%26codigoRegistro%3d905255%23905255&i=1,orcid.org/0000-0002-3823-8941,sem orcid,orcid.org/0000-0002-1180-2637,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/906006?guid=1652476672092&returnUrl=%2fresultado%2flistar%3fguid%3d1652476672092%26quantidadePaginas%3d1%26codigoRegistro%3d906006%23906006&i=2,orcid.org/0000-0003-4869-5190,sem orcid,orcid.org/0000-0002-8803-0401,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/904588?guid=1652476732635&returnUrl=%2fresultado%2flistar%3fguid%3d1652476732635%26quantidadePaginas%3d1%26codigoRegistro%3d904588%23904588&i=1,orcid.org/0000-0003-1908-4753,orcid.org/0000-0003-4290-6508,orcid.org/0000-0003-4890-1548,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/909740?guid=1652476857602&returnUrl=%2fresultado%2flistar%3fguid%3d1652476857602%26quantidadePaginas%3d1%26codigoRegistro%3d909740%23909740&i=1,orcid.org/0000-0001-5201-1244,orcid.org/0000-0002-6871-8428,orcid.org/0000-0001-5685-8004,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/910848?guid=1652476900074&returnUrl=%2fresultado%2flistar%3fguid%3d1652476900074%26quantidadePaginas%3d1%26codigoRegistro%3d910848%23910848&i=1,orcid.org/0000-0002-1067-6421,sem orcid,orcid.org/0000-0003-4462-3325,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/913827?guid=1652476955862&returnUrl=%2fresultado%2flistar%3fguid%3d1652476955862%26quantidadePaginas%3d1%26codigoRegistro%3d913827%23913827&i=1,orcid.org/0000-0003-4869-5190,orcid.org/0000-0002-0375-1657,orcid.org/0000-0002-9539-6874,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/910355?guid=1652477003957&returnUrl=%2fresultado%2flistar%3fguid%3d1652477003957%26quantidadePaginas%3d1%26codigoRegistro%3d910355%23910355&i=1,orcid.org/0000-0003-3333-6822,orcid.org/0000-0001-9174-2816,sem orcid,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/918342?guid=1652477047539&returnUrl=%2fresultado%2flistar%3fguid%3d1652477047539%26quantidadePaginas%3d1%26codigoRegistro%3d918342%23918342&i=2,orcid.org/0000-0002-6540-8686,orcid.org/0000-0002-7002-875X,orcid.org/0000-0003-2592-3664,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/912564?guid=1652477146079&returnUrl=%2fresultado%2flistar%3fguid%3d1652477146079%26quantidadePaginas%3d1%26codigoRegistro%3d912564%23912564&i=5,orcid.org/0000-0003-4549-7105,orcid.org/0000-0003-0678-4777,orcid.org/0000-0003-4290-6508,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/911614?guid=1652477224156&returnUrl=%2fresultado%2flistar%3fguid%3d1652477224156%26quantidadePaginas%3d1%26codigoRegistro%3d911614%23911614&i=5,orcid.org/0000-0003-4462-3325,sem orcid,orcid.org/0000-0001-6030-2682,,
