tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/968855?guid=1652561646808&returnUrl=%2fresultado%2flistar%3fguid%3d1652561646808%26quantidadePaginas%3d1%26codigoRegistro%3d968855%23968855&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0002-0512-506X,orcid.org/0000-0001-5295-3514,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/966459?guid=1652561714517&returnUrl=%2fresultado%2flistar%3fguid%3d1652561714517%26quantidadePaginas%3d1%26codigoRegistro%3d966459%23966459&i=2,orcid.org/0000-0001-6305-9059,orcid.org/0000-0002-8803-0401,orcid.org/0000-0003-0524-3274,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/965602?guid=1652561746695&returnUrl=%2fresultado%2flistar%3fguid%3d1652561746695%26quantidadePaginas%3d1%26codigoRegistro%3d965602%23965602&i=1,orcid.org/0000-0002-1756-4852,sem orcid,orcid.org/0000-0001-9772-263X,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/970901?guid=1652561772399&returnUrl=%2fresultado%2flistar%3fguid%3d1652561772399%26quantidadePaginas%3d1%26codigoRegistro%3d970901%23970901&i=2,orcid.org/0000-0002-4830-5298,orcid.org/0000-0001-5396-9868,orcid.org/0000-0002-8803-0401,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/967948?guid=1652561805224&returnUrl=%2fresultado%2flistar%3fguid%3d1652561805224%26quantidadePaginas%3d1%26codigoRegistro%3d967948%23967948&i=2,orcid.org/0000-0003-4549-7105,sem orcid,orcid.org/0000-0003-4290-6508,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/971455?guid=1652561833142&returnUrl=%2fresultado%2flistar%3fguid%3d1652561833142%26quantidadePaginas%3d1%26codigoRegistro%3d971455%23971455&i=2,orcid.org/0000-0003-4290-6508,sem orcid,orcid.org/0000-0003-4549-7105,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/969439?guid=1652561859145&returnUrl=%2fresultado%2flistar%3fguid%3d1652561859145%26quantidadePaginas%3d1%26codigoRegistro%3d969439%23969439&i=2,orcid.org/0000-0002-3372-3366,orcid.org/0000-0003-2162-6523,orcid.org/0000-0002-1180-2637,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/970857?guid=1652561974213&returnUrl=%2fresultado%2flistar%3fguid%3d1652561974213%26quantidadePaginas%3d1%26codigoRegistro%3d970857%23970857&i=1,orcid.org/0000-0003-4869-5190,orcid.org/0000-0001-5597-613X,orcid.org/0000-0002-0210-0908,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/971818?guid=1652562013837&returnUrl=%2fresultado%2flistar%3fguid%3d1652562013837%26quantidadePaginas%3d1%26codigoRegistro%3d971818%23971818&i=2,orcid.org/0000-0003-1783-4231,orcid.org/0000-0002-9957-5861,orcid.org/0000-0002-5564-698X,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/971102?guid=1652562050750&returnUrl=%2fresultado%2flistar%3fguid%3d1652562050750%26quantidadePaginas%3d1%26codigoRegistro%3d971102%23971102&i=7,orcid.org/0000-0003-3333-6822,orcid.org/0000-0001-6822-931X,orcid.org/0000-0002-8972-080X,,,
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/971449?guid=1652562073372&returnUrl=%2fresultado%2flistar%3fguid%3d1652562073372%26quantidadePaginas%3d1%26codigoRegistro%3d971449%23971449&i=1,orcid.org/0000-0002-7002-875X,sem orcid,orcid.org/0000-0002-6731-1482,,,
