orcid.org/0000-0002-4321-9075,Adín Ramírez Rivera,DSI
orcid.org/0000-0002-2914-5380,Alexandre Xavier Falcão,DSI
orcid.org/0000-0003-0750-0502,Alexandru Cristian Telea,Utrecht University
orcid.org/0000-0003-0683-7672,Anamaria Gomide,DTC
orcid.org/0000-0002-4236-8212,Anderson de Rezende Rocha,DSI
orcid.org/0000-0002-1756-4852,Andre Santanche,DSI
orcid.org/0000-0002-0323-9207,Antonio Carlos Rodrigues de Amorim,Labjor
orcid.org/0000-0001-8309-6367,Ariadne Carvalho,DSI
orcid.org/0000-0002-4531-1473,Breno Bernard Nicolau de França,DSI
orcid.org/0000-0002-9908-4384,Bruno Barbieri de Pontes Cafeo,DSI
orcid.org/0000-0001-7810-0595,"BULGARELI, J V",FOP
orcid.org/0000-0002-2407-0981,Carlos Alberto Astudillo Trujillo,DSC
orcid.org/0000-0003-4549-7105,Cecilia Mary Fischer Rubira Rubira,DSI
orcid.org/0000-0003-4237-4281,Christiane Neme Campos,DTC
orcid.org/0000-0002-5945-0845,Cid de Souza,DTC
orcid.org/0000-0003-1908-4753,Claudia Maria Bauzer Medeiros,DSI
orcid.org/0000-0002-2457-0783,Diego F. Aranha,DTC
orcid.org/0000-0002-1180-2637,Edmundo Roberto Mauro Madeira,DSC
orcid.org/0000-0003-1783-4231,Edson Borin,DSC
orcid.org/0000-0001-6030-2682,Eduardo C. Xavier,DTC
orcid.org/0000-0003-4290-6508,Eliane Martins,DSI
orcid.org/0000-0002-1445-1238,Emanuel Felipe Duarte,DSI
orcid.org/0000-0003-0467-3133,Esther Luna Colombini,DSI
orcid.org/0000-0002-8972-080X,Fábio Luiz Usberti,DTC
orcid.org/0000-0002-1067-6421,Flávio Keidi Miyazawa,DTC
orcid.org/0000-0001-5195-0215,Gastão Campos,FCM
orcid.org/0000-0003-4869-5190,Guido Araujo,DSC
orcid.org/0000-0003-2608-4807,Guilherme Pimentel Telles,DTC
orcid.org/0000-0002-4248-2744,Heiko Hornung,DSI
orcid.org/0000-0003-0125-630X,Hélio Pedrini,DSI
orcid.org/0000-0003-1214-3431,Hervé Cédric Yviquel,DSC
orcid.org/0000-0003-1303-3760,Hilder Vitor Lima Pereira,DTC
orcid.org/0000-0002-6023-5982,Islene Calciolari Garcia,DSC
orcid.org/0000-0001-5201-1244,Jacques Wainer,DSI
orcid.org/0000-0001-9174-2816,Joao C. Setubal,DTC
orcid.org/0000-0001-7878-4990,João Meidanis,DTC
orcid.org/0000-0002-3159-4839,Jorge Stolfi,DTC
orcid.org/0000-0002-8603-699X,Juliana Freitag Borin,DSC
orcid.org/0000-0002-9545-2098,Julio Cesar dos Reis,DSI
orcid.org/0000-0002-6731-1482,Julio Cesar López Hernández,DTC
orcid.org/0000-0002-3372-3366,Leandro Aparecido Villas,DSC
orcid.org/0000-0003-1001-082X,Lehilton Lelis Chaves Pedrosa,DTC
orcid.org/0000-0002-7603-9695,Leonardo Montecchi,DSI
orcid.org/0000-0002-5564-698X,Lucas Francisco Wanner,DSC
orcid.org/0000-0002-3823-8941,Luiz Eduardo Buzato,DSI
orcid.org/0000-0001-6305-9059,Luiz Fernando Bittencourt,DSC
orcid.org/0000-0002-3754-9115,Marcelo da Silva Reis,DSI
orcid.org/0000-0003-0499-2564,Marcos Medeiros Raimundo,DSI
orcid.org/0000-0002-4830-5298,Maria Cecilia Calani Baranauskas,DSI
orcid.org/0000-0002-3891-1593,mario cortes,DSC
orcid.org/0000-0002-1914-5790,Mario Jino,FEEC
orcid.org/0000-0003-2046-602X,Nelson Luis Saldanha da Fonseca,DSC
orcid.org/0000-0001-5015-2131,Neucimar Leite,DSI
orcid.org/0000-0003-4462-3325,Orlando Lee,DTC
orcid.org/0000-0002-6540-8686,Paulo de Geus,DSC
orcid.org/0000-0002-9529-4253,Pedro Jussieu de Rezende,DTC
orcid.org/0000-0002-0472-4810,Rafael Crivellari Saliba Schouery,DTC
orcid.org/0000-0002-8856-194X,Ricardo Anido,DSC
orcid.org/0000-0002-7002-875X,Ricardo Dahab,DTC
orcid.org/0000-0002-0210-0908,Ricardo Pannain,DSC
orcid.org/0000-0001-9772-263X,Ricardo Torres,DSI
orcid.org/0000-0002-8803-0401,Rodolfo Jardim de Azevedo,DSC
orcid.org/0000-0001-9068-938X,Sandra Eliza Fontes de Avila,DSI
orcid.org/0000-0002-9539-6874,Sandro Rigo,DSC
orcid.org/0000-0001-7434-2642,Santiago Valdés Ravelo,DTC
orcid.org/0000-0001-5685-8004,Siome Goldenstein,DSI
orcid.org/0000-0001-8923-0432,Tomasz Kowaltowski,DSC
orcid.org/0000-0001-5968-7108,Torsten Braun,Universität Bern
orcid.org/0000-0003-3333-6822,Zanoni Dias,DTC
