,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5,avaliador6,orientador_filiação,row_idx,avaliador1_nome,avaliador1_país,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_keyword_5,avaliador1_filiação,avaliador2_filiação,orientador_nome,orientador_país,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,orientador_keyword_5,avaliador2_nome,avaliador2_país,avaliador2_keyword_1,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,avaliador2_keyword_5,avaliador3_filiação,avaliador6_filiação,avaliador4_nome,avaliador4_país,avaliador4_filiação,avaliador6_nome,avaliador6_país,avaliador3_nome,avaliador3_país,avaliador5_nome,avaliador5_país,avaliador5_filiação,avaliador3_keyword_1,avaliador3_keyword_2,orientador_keyword_6,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador4_keyword_5,avaliador6_keyword_1,avaliador6_keyword_2,avaliador6_keyword_3,avaliador6_keyword_4
0,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/396681?guid=1651940590949&returnUrl=%2fresultado%2flistar%3fguid%3d1651940590949%26quantidadePaginas%3d1%26codigoRegistro%3d396681%23396681&i=1,orcid.org/0000-0001-7878-4990,orcid.org/0000-0001-6822-931X,orcid.org/0000-0003-3333-6822,,,,,State University of Campinas,0,Maria Emilia Walter,Brazil,bioinformatics, non-coding RNAs, genomics, transcriptomics, genome rearrangements,University of Brasilia,University of Campinas,Joao Meidanis,no info,,,,,,Zanoni Dias,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/411919?guid=1651940655926&returnUrl=%2fresultado%2flistar%3fguid%3d1651940655926%26quantidadePaginas%3d1%26codigoRegistro%3d411919%23411919&i=1,orcid.org/0000-0003-4549-7105,sem orcid,sem orcid,,,,,no info,1,sem orcid,sem orcid,,,,,,sem orcid,sem orcid,Cecilia Mary Fischer Rubira Rubira,no info,,,,,,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/404753?guid=1651940685971&returnUrl=%2fresultado%2flistar%3fguid%3d1651940685971%26quantidadePaginas%3d1%26codigoRegistro%3d404753%23404753&i=2,orcid.org/0000-0002-1180-2637,sem orcid,sem orcid,,,,,UNICAMP - University of Campinas,2,sem orcid,sem orcid,,,,,,sem orcid,sem orcid,Edmundo Madeira,no info,,,,,,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/396699?guid=1651940778773&returnUrl=%2fresultado%2flistar%3fguid%3d1651940778773%26quantidadePaginas%3d1%26codigoRegistro%3d396699%23396699&i=5,orcid.org/0000-0002-2914-5380,sem orcid,orcid.org/0000-0001-9772-263X,,,,,Universidade Estadual de Campinas,3,sem orcid,sem orcid,,,,,,sem orcid,Universidade Estadual de Campinas,Alexandre Falcao,Brazil,image processing, visualization, and analysis, (interactive) machine learning ,,Ricardo Torres,Netherlands,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,,,,,,,,,,,,,,,,,,,,,,,,
4,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/416663?guid=1651941473895&returnUrl=%2fresultado%2flistar%3fguid%3d1651941473895%26quantidadePaginas%3d1%26codigoRegistro%3d416663%23416663&i=1,orcid.org/0000-0002-8803-0401,sem orcid,orcid.org/0000-0002-8856-194X,,,,,UNICAMP,4,sem orcid,sem orcid,,,,,,sem orcid,University of Campinas,Rodolfo Azevedo,Brazil,,,,,,Ricardo Anido,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/403868?guid=1651941499789&returnUrl=%2fresultado%2flistar%3fguid%3d1651941499789%26quantidadePaginas%3d1%26codigoRegistro%3d403868%23403868&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0003-1574-0362,orcid.org/0000-0001-5015-2131,,,,,Universidade Estadual de Campinas,5,Cesar Marcondes,Brazil,,,,,,Instituto Tecnológico de Aeronáutica,no info,Ricardo Torres,Netherlands,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,Neucimar Leite,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/398863?guid=1651941539125&returnUrl=%2fresultado%2flistar%3fguid%3d1651941539125%26quantidadePaginas%3d1%26codigoRegistro%3d398863%23398863&i=1,orcid.org/0000-0003-4549-7105,sem orcid,orcid.org/0000-0002-3823-8941,,,,,no info,6,sem orcid,sem orcid,,,,,,sem orcid,University of Campinas,Cecilia Mary Fischer Rubira Rubira,no info,,,,,,Luiz Eduardo Buzato,Brazil,distributed systems,distributed algorithms,fault tolerance,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/415555?guid=1651941570286&returnUrl=%2fresultado%2flistar%3fguid%3d1651941570286%26quantidadePaginas%3d1%26codigoRegistro%3d415555%23415555&i=1,orcid.org/0000-0002-3159-4839,orcid.org/0000-0002-8757-4124,orcid.org/0000-0003-4462-3325,,,,,State University of Campinas,7,Sostenes Lins,no info,,,,,,no info,University of Campinas,Jorge Stolfi,no info,,,,,,Orlando Lee,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/396694?guid=1651941601568&returnUrl=%2fresultado%2flistar%3fguid%3d1651941601568%26quantidadePaginas%3d1%26codigoRegistro%3d396694%23396694&i=1,sem orcid,orcid.org/0000-0001-9892-740X,sem orcid,,,,,sem orcid,8,Eleri Cardozo,Brazil,Unicamp, Poli/USP, ITA,,,University of Campinas,sem orcid,sem orcid,sem orcid,,,,,,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/398841?guid=1651941634644&returnUrl=%2fresultado%2flistar%3fguid%3d1651941634644%26quantidadePaginas%3d1%26codigoRegistro%3d398841%23398841&i=1,sem orcid,sem orcid,sem orcid,,,,,sem orcid,9,sem orcid,sem orcid,,,,,,sem orcid,sem orcid,sem orcid,sem orcid,,,,,,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
