,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador2_nome,avaliador2_país,avaliador2_keyword_1,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,row_idx,orientador_filiação,avaliador1_filiação,avaliador2_filiação,orientador_nome,orientador_país,avaliador1_nome,avaliador1_país,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,orientador_keyword_5,avaliador4_nome,avaliador4_país,avaliador3_nome,avaliador3_país,avaliador3_filiação,avaliador4_filiação,avaliador1_keyword_5,avaliador2_keyword_5,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador3_keyword_4,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4
0,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/429068?guid=1652139756913&returnUrl=%2fresultado%2flistar%3fguid%3d1652139756913%26quantidadePaginas%3d1%26codigoRegistro%3d429068%23429068&i=3,sem orcid,orcid.org/0000-0003-1690-1201,orcid.org/0000-0002-4830-5298,,,Maria Cecilia Calani Baranauskas,Brazil,HCI,Socially Aware Design,Organizational Semiotics,Participatory Design,0,sem orcid,Universidade Federal de Goiás,Universidade Estadual de Campinas,sem orcid,sem orcid,Hugo do Nascimento,Brazil,Interactive optimization,Information Visualization,Software Engineering,,,,,,,,,,,,,,,,,,,,,,
1,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/444291?guid=1652139836195&returnUrl=%2fresultado%2flistar%3fguid%3d1652139836195%26quantidadePaginas%3d1%26codigoRegistro%3d444291%23444291&i=1,orcid.org/0000-0003-4290-6508,sem orcid,orcid.org/0000-0003-4549-7105,,,Cecilia Mary Fischer Rubira Rubira,no info,,,,,1,no info,sem orcid,no info,Eliane Martins,no info,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,
2,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/426733?guid=1652139865692&returnUrl=%2fresultado%2flistar%3fguid%3d1652139865692%26quantidadePaginas%3d1%26codigoRegistro%3d426733%23426733&i=1,orcid.org/0000-0002-1180-2637,sem orcid,orcid.org/0000-0003-2046-602X,,,Nelson L. S. da Fonseca,no info,,,,,2,UNICAMP - University of Campinas,sem orcid,Universidade Estadual de Campinas,Edmundo Madeira,no info,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,
3,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/444557?guid=1652139937249&returnUrl=%2fresultado%2flistar%3fguid%3d1652139937249%26quantidadePaginas%3d1%26codigoRegistro%3d444557%23444557&i=1,orcid.org/0000-0003-2046-602X,orcid.org/0000-0002-4961-3428,orcid.org/0000-0002-1180-2637,,,Edmundo Madeira,no info,,,,,3,Universidade Estadual de Campinas,University of Campinas School of Electrical and Computer Engineering,UNICAMP - University of Campinas,Nelson L. S. da Fonseca,no info,José C. Geromel,no info,,,,,,,,,,,,,,,,,,,,,,,,,
4,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/423602?guid=1652139993583&returnUrl=%2fresultado%2flistar%3fguid%3d1652139993583%26quantidadePaginas%3d1%26codigoRegistro%3d423602%23423602&i=1,orcid.org/0000-0002-8803-0401,sem orcid,sem orcid,,,sem orcid,sem orcid,,,,,4,UNICAMP,sem orcid,sem orcid,Rodolfo Azevedo,Brazil,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,
5,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/426745?guid=1652140029390&returnUrl=%2fresultado%2flistar%3fguid%3d1652140029390%26quantidadePaginas%3d1%26codigoRegistro%3d426745%23426745&i=2,orcid.org/0000-0002-8803-0401,sem orcid,orcid.org/0000-0003-4869-5190,,,Guido Araujo,no info,,,,,5,UNICAMP,sem orcid,Universidade Estadual de Campinas,Rodolfo Azevedo,Brazil,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,
6,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/423566?guid=1652140127319&returnUrl=%2fresultado%2flistar%3fguid%3d1652140127319%26quantidadePaginas%3d1%26codigoRegistro%3d423566%23423566&i=1,orcid.org/0000-0003-4869-5190,sem orcid,orcid.org/0000-0002-9539-6874,,,Sandro Rigo,Brazil,Computer Architecture,Compilers,Code Optimization,High-Performance Computing,6,Universidade Estadual de Campinas,sem orcid,Universidade Estadual de Campinas,Guido Araujo,no info,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,
7,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/430441?guid=1652140168623&returnUrl=%2fresultado%2flistar%3fguid%3d1652140168623%26quantidadePaginas%3d1%26codigoRegistro%3d430441%23430441&i=1,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-7561-5582,orcid.org/0000-0002-8856-194X,,,Ricardo Anido,Brazil,,,,,7,UNICAMP - University of Campinas,no info,University of Campinas,Edmundo Madeira,no info,Luciano Gaspary,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,
8,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/423613?guid=1652140212386&returnUrl=%2fresultado%2flistar%3fguid%3d1652140212386%26quantidadePaginas%3d1%26codigoRegistro%3d423613%23423613&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0002-7941-6281,orcid.org/0000-0002-6023-5982,,,Islene Calciolari Garcia,no info,,,,,8,Universidade Estadual de Campinas,Universidade Federal de Santa Catarina,University of Campinas,Ricardo Torres,Netherlands,Renato Fileto,no info,,,,,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,,,,,,,,,,,,,,,,
9,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/425656?guid=1652140280619&returnUrl=%2fresultado%2flistar%3fguid%3d1652140280619%26quantidadePaginas%3d1%26codigoRegistro%3d425656%23425656&i=1,orcid.org/0000-0001-7878-4990,orcid.org/0000-0001-6822-931X,orcid.org/0000-0001-5201-1244,,,Jacques Wainer,Brazil,,,,,9,State University of Campinas,University of Brasilia,no info,Joao Meidanis,no info,Maria Emilia Walter,Brazil,bioinformatics, non-coding RNAs, genomics, transcriptomics,,,,,,,,,,,, genome rearrangements,,,,,,,,,
