,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5,orientador_filiação,row_idx,avaliador1_nome,avaliador1_país,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_filiação,avaliador2_filiação,avaliador2_nome,avaliador2_país,avaliador2_keyword_1,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,avaliador2_keyword_5,orientador_nome,orientador_país,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,orientador_keyword_5,avaliador3_filiação,avaliador5_nome,avaliador5_país,avaliador4_filiação,avaliador3_nome,avaliador3_país,avaliador5_filiação,avaliador4_nome,avaliador4_país,avaliador1_keyword_5,avaliador4_keyword_1,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador3_keyword_4,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador3_keyword_5
0,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/467516?guid=1652142043121&returnUrl=%2fresultado%2flistar%3fguid%3d1652142043121%26quantidadePaginas%3d1%26codigoRegistro%3d467516%23467516&i=1,orcid.org/0000-0001-5015-2131,orcid.org/0000-0002-9554-1381,orcid.org/0000-0001-9772-263X,,,,no info,0,Ricardo Machado Leite de Barros,Brazil,Biomecânica,Cinesiologia,Educação Física Desportiva,Biomecânica do Movimento Humano Aplicada aos Esportes,State University of Campinas,Universidade Estadual de Campinas,Ricardo Torres,Netherlands,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,Neucimar Leite,no info,,,,,,,,,,,,,,,,,,,,,,,,
1,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/445242?guid=1652142073024&returnUrl=%2fresultado%2flistar%3fguid%3d1652142073024%26quantidadePaginas%3d1%26codigoRegistro%3d445242%23445242&i=1,orcid.org/0000-0002-6540-8686,sem orcid,orcid.org/0000-0002-6023-5982,,,,University of Campinas,1,sem orcid,sem orcid,,,,,sem orcid,University of Campinas,Islene Calciolari Garcia,no info,,,,,,Paulo de Geus,Brazil,Computer Security,,,,,,,,,,,,,,,,,,,,,,,
2,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/467433?guid=1652142198678&returnUrl=%2fresultado%2flistar%3fguid%3d1652142198678%26quantidadePaginas%3d1%26codigoRegistro%3d467433%23467433&i=13,orcid.org/0000-0002-7002-875X,orcid.org/0000-0002-6731-1482,,,,,University of Campinas,2,Julio Cesar Lopez Hernandez,Mexico,,,,,no info,,,,,,,,,Ricardo Dahab,Brazil,Cryptography, Graph Theory,,,,,,,,,,,,,,,,,,,,,,
3,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/444627?guid=1652142260410&returnUrl=%2fresultado%2flistar%3fguid%3d1652142260410%26quantidadePaginas%3d1%26codigoRegistro%3d444627%23444627&i=1,orcid.org/0000-0001-9772-263X,sem orcid,orcid.org/0000-0003-0125-630X,,,,Universidade Estadual de Campinas,3,sem orcid,sem orcid,,,,,sem orcid,University of Campinas,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,,,,,Ricardo Torres,Netherlands,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,,,,,,,,,,,,,,,,,,,
4,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/446556?guid=1652142326357&returnUrl=%2fresultado%2flistar%3fguid%3d1652142326357%26quantidadePaginas%3d1%26codigoRegistro%3d446556%23446556&i=1,sem orcid,orcid.org/0000-0001-6112-892X,sem orcid,,,,sem orcid,4,Celmar Guimarães da Silva,Brazil,Information Visualization; Human-Computer Interaction,,,,Universidade Estadual de Campinas,sem orcid,sem orcid,sem orcid,,,,,,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,
5,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/444849?guid=1652142366158&returnUrl=%2fresultado%2flistar%3fguid%3d1652142366158%26quantidadePaginas%3d1%26codigoRegistro%3d444849%23444849&i=1,orcid.org/0000-0002-7002-875X,sem orcid,orcid.org/0000-0001-5685-8004,,,,University of Campinas,5,sem orcid,sem orcid,,,,,sem orcid,no info,Siome Goldenstein,no info,,,,,,Ricardo Dahab,Brazil,Cryptography, Graph Theory,,,,,,,,,,,,,,,,,,,,,,
6,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/444929?guid=1652142409366&returnUrl=%2fresultado%2flistar%3fguid%3d1652142409366%26quantidadePaginas%3d1%26codigoRegistro%3d444929%23444929&i=1,orcid.org/0000-0001-9772-263X,sem orcid,orcid.org/0000-0002-2914-5380,,,,Universidade Estadual de Campinas,6,sem orcid,sem orcid,,,,,sem orcid,Universidade Estadual de Campinas,Alexandre Falcao,Brazil,image processing, visualization, and analysis, (interactive) machine learning ,,Ricardo Torres,Netherlands,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,,,,,,,,,,,,,,,,,,,
7,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/444926?guid=1652142578185&returnUrl=%2fresultado%2flistar%3fguid%3d1652142578185%26quantidadePaginas%3d1%26codigoRegistro%3d444926%23444926&i=1,orcid.org/0000-0003-0683-7672,sem orcid,orcid.org/0000-0002-2914-5380,,,,no info,7,sem orcid,sem orcid,,,,,sem orcid,Universidade Estadual de Campinas,Alexandre Falcao,Brazil,image processing, visualization, and analysis, (interactive) machine learning ,,Anamaria Gomide,no info,,,,,,,,,,,,,,,,,,,,,,,,
8,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/444918?guid=1652142700927&returnUrl=%2fresultado%2flistar%3fguid%3d1652142700927%26quantidadePaginas%3d1%26codigoRegistro%3d444918%23444918&i=1,orcid.org/0000-0002-2914-5380,sem orcid,orcid.org/0000-0003-0125-630X,,,,Universidade Estadual de Campinas,8,sem orcid,sem orcid,,,,,sem orcid,University of Campinas,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,,,,,Alexandre Falcao,Brazil,image processing, visualization, and analysis, (interactive) machine learning ,,,,,,,,,,,,,,,,,,,,
9,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/444922?guid=1652142751653&returnUrl=%2fresultado%2flistar%3fguid%3d1652142751653%26quantidadePaginas%3d1%26codigoRegistro%3d444922%23444922&i=1,orcid.org/0000-0002-7002-875X,sem orcid,orcid.org/0000-0002-6731-1482,,,,University of Campinas,9,sem orcid,sem orcid,,,,,sem orcid,no info,Julio Cesar Lopez Hernandez,Mexico,,,,,,Ricardo Dahab,Brazil,Cryptography, Graph Theory,,,,,,,,,,,,,,,,,,,,,,
