,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador2_filiação,row_idx,orientador_filiação,avaliador1_nome,avaliador1_país,avaliador1_filiação,avaliador2_nome,avaliador2_país,orientador_nome,orientador_país,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,orientador_keyword_5,avaliador2_keyword_1,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,avaliador1_keyword_1,avaliador3_nome,avaliador3_país,avaliador3_filiação,avaliador4_filiação,avaliador4_nome,avaliador4_país,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_keyword_5,avaliador1_keyword_6,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador4_keyword_5,avaliador4_keyword_6
0,,https://repositorio.unicamp.br/acervo/detalhe/478387?guid=1652454647273&returnUrl=%2fresultado%2flistar%3fguid%3d1652454647273%26quantidadePaginas%3d1%26codigoRegistro%3d478387%23478387&i=10,sem orcid,orcid.org/0000-0001-6261-1497,orcid.org/0000-0002-6023-5982,,,University of Campinas,0,sem orcid,Marcelo Fantinato,Brazil,no info,Islene Calciolari Garcia,no info,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,https://repositorio.unicamp.br/acervo/detalhe/480801?guid=1652455092338&returnUrl=%2fresultado%2flistar%3fguid%3d1652455092338%26quantidadePaginas%3d1%26codigoRegistro%3d480801%23480801&i=1,orcid.org/0000-0003-4549-7105,orcid.org/0000-0003-3692-2202,orcid.org/0000-0002-6023-5982,,,University of Campinas,1,no info,Delano Beder,no info,no info,Islene Calciolari Garcia,no info,Cecilia Mary Fischer Rubira Rubira,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,https://repositorio.unicamp.br/acervo/detalhe/772832?guid=1652455280143&returnUrl=%2fresultado%2flistar%3fguid%3d1652455280143%26quantidadePaginas%3d1%26codigoRegistro%3d772832%23772832&i=1,orcid.org/0000-0001-7878-4990,sem orcid,orcid.org/0000-0003-3333-6822,,,University of Campinas,2,State University of Campinas,sem orcid,sem orcid,sem orcid,Zanoni Dias,Brazil,Joao Meidanis,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,https://repositorio.unicamp.br/acervo/detalhe/771277?guid=1652455304761&returnUrl=%2fresultado%2flistar%3fguid%3d1652455304761%26quantidadePaginas%3d1%26codigoRegistro%3d771277%23771277&i=1,orcid.org/0000-0002-4830-5298,orcid.org/0000-0002-6750-5965,orcid.org/0000-0001-8309-6367,,,Universidade Estadual de Campinas,3,Universidade Estadual de Campinas,Laura Sánchez García,no info,Pontifícia Universidade Católica do Rio de Janeiro,Ariadne Carvalho,no info,Maria Cecilia Calani Baranauskas,Brazil,HCI,Socially Aware Design,Organizational Semiotics,Participatory Design,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,https://repositorio.unicamp.br/acervo/detalhe/480734?guid=1652455347477&returnUrl=%2fresultado%2flistar%3fguid%3d1652455347477%26quantidadePaginas%3d1%26codigoRegistro%3d480734%23480734&i=1,orcid.org/0000-0003-1908-4753,orcid.org/0000-0002-1756-4852,orcid.org/0000-0003-4262-5474,,,Universidade Federal de Santa Catarina,4,Universidade Estadual de Campinas Instituto de Computação,André Santanchè,no info,Universidade Estadual de Campinas,RONALDO DOS SANTOS MELLO,no info,Claudia Medeiros,Brazil,Scientific data management, Data interoperability, Open Science,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,https://repositorio.unicamp.br/acervo/detalhe/480729?guid=1652455376734&returnUrl=%2fresultado%2flistar%3fguid%3d1652455376734%26quantidadePaginas%3d1%26codigoRegistro%3d480729%23480729&i=6,orcid.org/0000-0003-4549-7105,sem orcid,orcid.org/0000-0003-4290-6508,,,no info,5,no info,sem orcid,sem orcid,sem orcid,Eliane Martins,no info,Cecilia Mary Fischer Rubira Rubira,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,https://repositorio.unicamp.br/acervo/detalhe/771272?guid=1652455436796&returnUrl=%2fresultado%2flistar%3fguid%3d1652455436796%26quantidadePaginas%3d1%26codigoRegistro%3d771272%23771272&i=2,orcid.org/0000-0001-9772-263X,sem orcid,orcid.org/0000-0002-4236-8212,,,Universidade Estadual de Campinas,6,Universidade Estadual de Campinas,sem orcid,sem orcid,sem orcid,Anderson Rocha,Brazil,Ricardo Torres,Netherlands,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,,,,,,,,,,,,,,,,,,,,,,,,
7,,https://repositorio.unicamp.br/acervo/detalhe/771295?guid=1652455506726&returnUrl=%2fresultado%2flistar%3fguid%3d1652455506726%26quantidadePaginas%3d1%26codigoRegistro%3d771295%23771295&i=1,orcid.org/0000-0003-4462-3325,orcid.org/0000-0002-5259-2859,orcid.org/0000-0003-2998-6785,orcid.org/0000-0002-1067-6421,,State University of Campinas,7,University of Campinas,Cristina G. Fernandes,no info,University of Sao Paulo,LUIS MEIRA,Brazil,Orlando Lee,no info,,,,,,optimization,Algorithms,Petroleum engineering,graphs,approximation algorithms,Flávio K. Miyazawa,no info,no info,,,,,,,,,,,,,,,,,
8,,https://repositorio.unicamp.br/acervo/detalhe/771289?guid=1652455546932&returnUrl=%2fresultado%2flistar%3fguid%3d1652455546932%26quantidadePaginas%3d1%26codigoRegistro%3d771289%23771289&i=1,orcid.org/0000-0001-9772-263X,sem orcid,orcid.org/0000-0001-5015-2131,,,no info,8,Universidade Estadual de Campinas,sem orcid,sem orcid,sem orcid,Neucimar Leite,no info,Ricardo Torres,Netherlands,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,,,,,,,,,,,,,,,,,,,,,,,,,
9,,https://repositorio.unicamp.br/acervo/detalhe/776438?guid=1652455588072&returnUrl=%2fresultado%2flistar%3fguid%3d1652455588072%26quantidadePaginas%3d1%26codigoRegistro%3d776438%23776438&i=1,sem orcid,sem orcid,orcid.org/0000-0001-7878-4990,,,State University of Campinas,9,sem orcid,sem orcid,sem orcid,sem orcid,Joao Meidanis,no info,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
