,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,orientador_filiação,row_idx,avaliador2_filiação,avaliador1_filiação,avaliador2_nome,avaliador2_país,orientador_nome,orientador_país,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,avaliador1_nome,avaliador1_país,avaliador2_keyword_1,avaliador1_keyword_1,avaliador4_filiação,avaliador3_filiação,avaliador4_nome,avaliador4_país,avaliador3_nome,avaliador3_país,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,avaliador2_keyword_5,orientador_keyword_5,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4
0,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/794180?guid=1652457756102&returnUrl=%2fresultado%2flistar%3fguid%3d1652457756102%26quantidadePaginas%3d1%26codigoRegistro%3d794180%23794180&i=1,orcid.org/0000-0003-4290-6508,sem orcid,orcid.org/0000-0001-6030-2682,,,no info,0,University of Campinas,sem orcid,Eduardo C. Xavier,Brazil,Eliane Martins,no info,,,,,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,
1,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/798651?guid=1652461510886&returnUrl=%2fresultado%2flistar%3fguid%3d1652461510886%26quantidadePaginas%3d1%26codigoRegistro%3d798651%23798651&i=1,orcid.org/0000-0002-4830-5298,sem orcid,orcid.org/0000-0002-1756-4852,,,Universidade Estadual de Campinas,1,Universidade Estadual de Campinas,sem orcid,André Santanchè,no info,Maria Cecilia Calani Baranauskas,Brazil,HCI,Socially Aware Design,Organizational Semiotics,Participatory Design,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,
2,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/795370?guid=1652461558805&returnUrl=%2fresultado%2flistar%3fguid%3d1652461558805%26quantidadePaginas%3d1%26codigoRegistro%3d795370%23795370&i=1,orcid.org/0000-0001-5015-2131,orcid.org/0000-0003-4861-7061,orcid.org/0000-0003-0125-630X,,,no info,2,University of Campinas,Universidade Estadual Paulista Júlio de Mesquita Filho,Helio Pedrini,Brazil,Neucimar Leite,no info,,,,,Aparecido Nilceu Marana,no info,image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,,,
3,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/795402?guid=1652461616908&returnUrl=%2fresultado%2flistar%3fguid%3d1652461616908%26quantidadePaginas%3d1%26codigoRegistro%3d795402%23795402&i=1,orcid.org/0000-0001-6030-2682,sem orcid,orcid.org/0000-0003-4462-3325,,,University of Campinas,3,University of Campinas,sem orcid,Orlando Lee,no info,Eduardo C. Xavier,Brazil,,,,,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,
4,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/798017?guid=1652461661403&returnUrl=%2fresultado%2flistar%3fguid%3d1652461661403%26quantidadePaginas%3d1%26codigoRegistro%3d798017%23798017&i=1,sem orcid,orcid.org/0000-0002-5591-3750,orcid.org/0000-0002-1180-2637,,,sem orcid,4,UNICAMP - University of Campinas,Universidade de São Paulo Instituto de Ciências Matemáticas e de Computação,Edmundo Madeira,no info,sem orcid,sem orcid,,,,,Jo Ueyama,no info,,,,,,,,,,,,,,,,,,,,
5,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/796728?guid=1652461719412&returnUrl=%2fresultado%2flistar%3fguid%3d1652461719412%26quantidadePaginas%3d1%26codigoRegistro%3d796728%23796728&i=1,orcid.org/0000-0003-1908-4753,orcid.org/0000-0003-1574-0362,orcid.org/0000-0002-1756-4852,,,Universidade Estadual de Campinas Instituto de Computação,5,Universidade Estadual de Campinas,Instituto Tecnológico de Aeronáutica,André Santanchè,no info,Claudia Medeiros,Brazil,Scientific data management, Data interoperability, Open Science,,Cesar Marcondes,Brazil,,,,,,,,,,,,,,,,,,,,
6,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/798158?guid=1652461811233&returnUrl=%2fresultado%2flistar%3fguid%3d1652461811233%26quantidadePaginas%3d1%26codigoRegistro%3d798158%23798158&i=1,orcid.org/0000-0001-6030-2682,orcid.org/0000-0002-4865-5896,orcid.org/0000-0002-1180-2637,,,University of Campinas,6,UNICAMP - University of Campinas,Universidade de São Paulo,Edmundo Madeira,no info,Eduardo C. Xavier,Brazil,,,,,Daniel Macedo Batista,Brazil,,Computer Networks; Computer Science,,,,,,,,,,,,,,,,,,
7,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/803009?guid=1652461899273&returnUrl=%2fresultado%2flistar%3fguid%3d1652461899273%26quantidadePaginas%3d1%26codigoRegistro%3d803009%23803009&i=1,orcid.org/0000-0002-9529-4253,orcid.org/0000-0002-6399-8790,orcid.org/0000-0003-0125-630X,,,University of Campinas,7,University of Campinas,Universidade de São Paulo,Helio Pedrini,Brazil,Pedro J. de Rezende,no info,,,,,Ronaldo Hashimoto,no info,image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,,,
8,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/823309?guid=1652461931244&returnUrl=%2fresultado%2flistar%3fguid%3d1652461931244%26quantidadePaginas%3d1%26codigoRegistro%3d823309%23823309&i=1,orcid.org/0000-0002-5945-0845,sem orcid,orcid.org/0000-0002-1067-6421,,,Universidade Estadual de Campinas,8,no info,sem orcid,Flávio K. Miyazawa,no info,Cid de Souza,Brazil,Integer Programming,Combinatorial Optimization,Algorithms (design and analysis),Operations Research,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,
9,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/822086?guid=1652461962386&returnUrl=%2fresultado%2flistar%3fguid%3d1652461962386%26quantidadePaginas%3d1%26codigoRegistro%3d822086%23822086&i=2,orcid.org/0000-0002-4830-5298,sem orcid,orcid.org/0000-0001-9772-263X,sem orcid,,Universidade Estadual de Campinas,9,Universidade Estadual de Campinas,sem orcid,Ricardo Torres,Netherlands,Maria Cecilia Calani Baranauskas,Brazil,HCI,Socially Aware Design,Organizational Semiotics,Participatory Design,sem orcid,sem orcid,multimedia retrieval,,,sem orcid,,,sem orcid,sem orcid,multimedia classification,machine learning,information visualization,data science,,,,,,,,
