,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,orientador_filiação,row_idx,avaliador2_filiação,avaliador1_nome,avaliador1_país,avaliador2_nome,avaliador2_país,avaliador2_keyword_1,orientador_nome,orientador_país,avaliador1_filiação,orientador_keyword_1,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,avaliador2_keyword_5,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,orientador_keyword_5,avaliador3_filiação,avaliador4_filiação,avaliador4_nome,avaliador4_país,avaliador3_nome,avaliador3_país,avaliador1_keyword_5,avaliador1_keyword_6,avaliador2_keyword_6,avaliador2_keyword_7,avaliador2_keyword_8,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador3_keyword_4,avaliador3_keyword_5
0,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/867060?guid=1652465914739&returnUrl=%2fresultado%2flistar%3fguid%3d1652465914739%26quantidadePaginas%3d1%26codigoRegistro%3d867060%23867060&i=1,orcid.org/0000-0001-7878-4990,orcid.org/0000-0003-4804-5788,orcid.org/0000-0003-2608-4807,,,State University of Campinas,0,Universidade Estadual de Campinas,Carlos Ferreira,no info,Guilherme P. Telles,Brazil,,Joao Meidanis,no info,University of São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/855492?guid=1652466058005&returnUrl=%2fresultado%2flistar%3fguid%3d1652466058005%26quantidadePaginas%3d1%26codigoRegistro%3d855492%23855492&i=2,orcid.org/0000-0001-8309-6367,orcid.org/0000-0002-3159-4839,orcid.org/0000-0003-2111-1319,,,Universidade Estadual de Campinas,1,University of São Paulo,Jorge Stolfi,no info,"Pardo, T.A.S.",Brazil,,Ariadne Carvalho,no info,State University of Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/854808?guid=1652466127680&returnUrl=%2fresultado%2flistar%3fguid%3d1652466127680%26quantidadePaginas%3d1%26codigoRegistro%3d854808%23854808&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0002-2075-3363,orcid.org/0000-0002-6023-5982,,,Universidade Estadual de Campinas,2,University of Campinas,Marcos André Gonçalves,no info,Islene Calciolari Garcia,no info,,Ricardo Torres,Netherlands,Universidade Federal de Minas Gerais,multimedia retrieval,,,,,,,,,multimedia classification,machine learning,information visualization,data science,,,,,,,,,,,,,,,,,,,,
3,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/909776?guid=1652466165477&returnUrl=%2fresultado%2flistar%3fguid%3d1652466165477%26quantidadePaginas%3d1%26codigoRegistro%3d909776%23909776&i=1,orcid.org/0000-0001-5685-8004,sem orcid,orcid.org/0000-0001-8309-6367,,,no info,3,Universidade Estadual de Campinas,sem orcid,sem orcid,Ariadne Carvalho,no info,,Siome Goldenstein,no info,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/866199?guid=1652466216774&returnUrl=%2fresultado%2flistar%3fguid%3d1652466216774%26quantidadePaginas%3d1%26codigoRegistro%3d866199%23866199&i=2,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-6494-7514,orcid.org/0000-0002-4236-8212,,,University of Campinas,4,Universidade Estadual de Campinas,João Paulo Papa,no info,Anderson Rocha,Brazil,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,Helio Pedrini,Brazil,no info,image and video processing; machine learning; computer vision,machine learning, image processing, computervision, meta-heuristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/866194?guid=1652466377909&returnUrl=%2fresultado%2flistar%3fguid%3d1652466377909%26quantidadePaginas%3d1%26codigoRegistro%3d866194%23866194&i=1,orcid.org/0000-0001-5201-1244,sem orcid,orcid.org/0000-0001-8309-6367,,,no info,5,Universidade Estadual de Campinas,sem orcid,sem orcid,Ariadne Carvalho,no info,,Jacques Wainer,Brazil,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/875359?guid=1652466427736&returnUrl=%2fresultado%2flistar%3fguid%3d1652466427736%26quantidadePaginas%3d1%26codigoRegistro%3d875359%23875359&i=1,orcid.org/0000-0001-7878-4990,sem orcid,orcid.org/0000-0003-3333-6822,,,State University of Campinas,6,University of Campinas,sem orcid,sem orcid,Zanoni Dias,Brazil,,Joao Meidanis,no info,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/866725?guid=1652466519805&returnUrl=%2fresultado%2flistar%3fguid%3d1652466519805%26quantidadePaginas%3d1%26codigoRegistro%3d866725%23866725&i=1,orcid.org/0000-0002-1756-4852,orcid.org/0000-0001-8264-5811,orcid.org/0000-0001-9772-263X,,,Universidade Estadual de Campinas,7,Universidade Estadual de Campinas,Maria da Graça Campos Pimentel,no info,Ricardo Torres,Netherlands,multimedia retrieval,André Santanchè,no info,Universidade de São Paulo,,,,,,multimedia classification,machine learning,information visualization,data science,,,,,,,,,,,,,,,,,,,,,,,,
8,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/867041?guid=1652466681594&returnUrl=%2fresultado%2flistar%3fguid%3d1652466681594%26quantidadePaginas%3d1%26codigoRegistro%3d867041%23867041&i=1,sem orcid,sem orcid,orcid.org/0000-0002-9539-6874,,,sem orcid,8,Universidade Estadual de Campinas,sem orcid,sem orcid,Sandro Rigo,Brazil,Computer Architecture,sem orcid,sem orcid,sem orcid,,,,,,Compilers,Code Optimization,High-Performance Computing,,,,,,,,,,,,,,,,,,,,,,,,,
9,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/869588?guid=1652467292928&returnUrl=%2fresultado%2flistar%3fguid%3d1652467292928%26quantidadePaginas%3d1%26codigoRegistro%3d869588%23869588&i=1,orcid.org/0000-0003-1908-4753,sem orcid,orcid.org/0000-0002-1756-4852,,,Universidade Estadual de Campinas Instituto de Computação,9,Universidade Estadual de Campinas,sem orcid,sem orcid,André Santanchè,no info,,Claudia Medeiros,Brazil,sem orcid,Scientific data management,,,,,,,,, Data interoperability, Open Science,,,,,,,,,,,,,,,,,,,,,,
10,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/919651?guid=1652467374144&returnUrl=%2fresultado%2flistar%3fguid%3d1652467374144%26quantidadePaginas%3d1%26codigoRegistro%3d919651%23919651&i=1,orcid.org/0000-0003-4290-6508,sem orcid,orcid.org/0000-0001-8309-6367,,,no info,10,Universidade Estadual de Campinas,sem orcid,sem orcid,Ariadne Carvalho,no info,,Eliane Martins,no info,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/867009?guid=1652467497883&returnUrl=%2fresultado%2flistar%3fguid%3d1652467497883%26quantidadePaginas%3d1%26codigoRegistro%3d867009%23867009&i=7,orcid.org/0000-0002-5945-0845,orcid.org/0000-0003-4804-5788,orcid.org/0000-0002-9529-4253,,,Universidade Estadual de Campinas,11,University of Campinas,Carlos Ferreira,no info,Pedro J. de Rezende,no info,,Cid de Souza,Brazil,University of São Paulo,Integer Programming,,,,,,,,,Combinatorial Optimization,Algorithms (design and analysis),Operations Research,,,,,,,,,,,,,,,,,,,,,
12,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/895731?guid=1652467603635&returnUrl=%2fresultado%2flistar%3fguid%3d1652467603635%26quantidadePaginas%3d1%26codigoRegistro%3d895731%23895731&i=1,orcid.org/0000-0003-2046-602X,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-7561-5582,,,Universidade Estadual de Campinas,12,no info,Edmundo Madeira,no info,Luciano Gaspary,Brazil,,Nelson L. S. da Fonseca,no info,UNICAMP - University of Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/875160?guid=1652468223760&returnUrl=%2fresultado%2flistar%3fguid%3d1652468223760%26quantidadePaginas%3d1%26codigoRegistro%3d875160%23875160&i=1,orcid.org/0000-0002-4236-8212,sem orcid,orcid.org/0000-0001-9772-263X,,,Universidade Estadual de Campinas,13,Universidade Estadual de Campinas,sem orcid,sem orcid,Ricardo Torres,Netherlands,multimedia retrieval,Anderson Rocha,Brazil,sem orcid,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,,,,,multimedia classification,machine learning,information visualization,data science,,,,,,,,,,,,,,,,,,,,,,,,
14,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/879248?guid=1652468689144&returnUrl=%2fresultado%2flistar%3fguid%3d1652468689144%26quantidadePaginas%3d1%26codigoRegistro%3d879248%23879248&i=1,orcid.org/0000-0002-1180-2637,orcid.org/0000-0003-2162-6523,orcid.org/0000-0003-2046-602X,,,UNICAMP - University of Campinas,14,Universidade Estadual de Campinas,Eduardo Cerqueira,no info,Nelson L. S. da Fonseca,no info,,Edmundo Madeira,no info,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/911607?guid=1652469138257&returnUrl=%2fresultado%2flistar%3fguid%3d1652469138257%26quantidadePaginas%3d1%26codigoRegistro%3d911607%23911607&i=1,orcid.org/0000-0002-4236-8212,orcid.org/0000-0003-0125-630X,sem orcid,,,Universidade Estadual de Campinas,15,sem orcid,Helio Pedrini,Brazil,sem orcid,sem orcid,,Anderson Rocha,Brazil,University of Campinas,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/877881?guid=1652469197177&returnUrl=%2fresultado%2flistar%3fguid%3d1652469197177%26quantidadePaginas%3d1%26codigoRegistro%3d877881%23877881&i=1,orcid.org/0000-0003-4869-5190,orcid.org/0000-0003-1752-6255,orcid.org/0000-0002-8803-0401,,,Universidade Estadual de Campinas,16,UNICAMP,Mauricio Breternitz,no info,Rodolfo Azevedo,Brazil,,Guido Araujo,no info,Advanced Micro Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/900635?guid=1652469233967&returnUrl=%2fresultado%2flistar%3fguid%3d1652469233967%26quantidadePaginas%3d1%26codigoRegistro%3d900635%23900635&i=1,orcid.org/0000-0003-0125-630X,orcid.org/0000-0003-2059-9463,orcid.org/0000-0001-9772-263X,,,University of Campinas,17,Universidade Estadual de Campinas,Moacir Ponti,no info,Ricardo Torres,Netherlands,multimedia retrieval,Helio Pedrini,Brazil,Universidade de São Paulo,image and video processing; machine learning; computer vision,,,,,multimedia classification,machine learning,information visualization,data science,,,,,,,,,,,,,,,,,,,,,,,,
18,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/902622?guid=1652469274752&returnUrl=%2fresultado%2flistar%3fguid%3d1652469274752%26quantidadePaginas%3d1%26codigoRegistro%3d902622%23902622&i=1,orcid.org/0000-0001-5685-8004,orcid.org/0000-0002-7860-9575,orcid.org/0000-0001-5201-1244,,,no info,18,no info,Edleno Silva de Moura,no info,Jacques Wainer,Brazil,,Siome Goldenstein,no info,Universidade Federal do Amazonas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/903641?guid=1652469325719&returnUrl=%2fresultado%2flistar%3fguid%3d1652469325719%26quantidadePaginas%3d1%26codigoRegistro%3d903641%23903641&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0003-0804-1790,orcid.org/0000-0003-0683-7672,,,Universidade Estadual de Campinas,19,no info,Zenilton Patrocínio Jr,no info,Anamaria Gomide,no info,,Ricardo Torres,Netherlands,Pontifícia Universidade Católica de Minas Gerais,multimedia retrieval,,,,,,,,,multimedia classification,machine learning,information visualization,data science,,,,,,,,,,,,,,,,,,,,
20,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/899631?guid=1652469391661&returnUrl=%2fresultado%2flistar%3fguid%3d1652469391661%26quantidadePaginas%3d1%26codigoRegistro%3d899631%23899631&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0001-5295-3514,sem orcid,,,Universidade Estadual de Campinas,20,sem orcid,Luiz Camolesi Júnior,no info,sem orcid,sem orcid,,Ricardo Torres,Netherlands,Universidade Estadual de Campinas,multimedia retrieval,,,,,,,,,multimedia classification,machine learning,information visualization,data science,,,,,,,,,,,,,,,,,,,,
21,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/899670?guid=1652469429063&returnUrl=%2fresultado%2flistar%3fguid%3d1652469429063%26quantidadePaginas%3d1%26codigoRegistro%3d899670%23899670&i=1,orcid.org/0000-0002-1756-4852,sem orcid,orcid.org/0000-0002-4830-5298,,,Universidade Estadual de Campinas,21,Universidade Estadual de Campinas,sem orcid,sem orcid,Maria Cecilia Calani Baranauskas,Brazil,HCI,André Santanchè,no info,sem orcid,,,,,,Socially Aware Design,Organizational Semiotics,Participatory Design,,,,,,,,,,,,,,,,,,,,,,,,,
22,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/905908?guid=1652469491004&returnUrl=%2fresultado%2flistar%3fguid%3d1652469491004%26quantidadePaginas%3d1%26codigoRegistro%3d905908%23905908&i=1,orcid.org/0000-0002-7002-875X,orcid.org/0000-0001-9242-2806,orcid.org/0000-0002-6731-1482,,,University of Campinas,22,no info,Routo Terada,Brazil,Julio Cesar Lopez Hernandez,Mexico,,Ricardo Dahab,Brazil,Universidade de São Paulo,Cryptography,Cryptography,,,,,,,, Graph Theory,,,,,,,,,,,,,,,,,,,,,,,
23,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/895763?guid=1652469644342&returnUrl=%2fresultado%2flistar%3fguid%3d1652469644342%26quantidadePaginas%3d1%26codigoRegistro%3d895763%23895763&i=1,orcid.org/0000-0002-1180-2637,sem orcid,orcid.org/0000-0003-2046-602X,,,UNICAMP - University of Campinas,23,Universidade Estadual de Campinas,sem orcid,sem orcid,Nelson L. S. da Fonseca,no info,,Edmundo Madeira,no info,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
