,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador1_filiação,row_idx,orientador_filiação,orientador_nome,orientador_país,orientador_keyword_1,avaliador2_nome,avaliador2_país,avaliador2_keyword_1,avaliador2_keyword_2,avaliador2_keyword_3,avaliador1_nome,avaliador1_país,avaliador2_filiação,orientador_keyword_2,orientador_keyword_3,avaliador1_keyword_1,avaliador1_keyword_2,avaliador3_filiação,avaliador4_nome,avaliador4_país,avaliador3_nome,avaliador3_país,avaliador4_filiação,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_keyword_5,avaliador1_keyword_6,avaliador2_keyword_4,orientador_keyword_4,orientador_keyword_5,avaliador3_keyword_1,avaliador3_keyword_2,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador4_keyword_5,avaliador2_keyword_5
0,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/901712?guid=1652476434194&returnUrl=%2fresultado%2flistar%3fguid%3d1652476434194%26quantidadePaginas%3d1%26codigoRegistro%3d901712%23901712&i=1,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-4252-3710,orcid.org/0000-0002-3159-4839,,,no info,0,University of Campinas,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,Jorge Stolfi,no info,,,,Jair Donadelli,no info,State University of Campinas,,,,,,,,,,,,,,,,,,,,,,,,,
1,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/903661?guid=1652476482335&returnUrl=%2fresultado%2flistar%3fguid%3d1652476482335%26quantidadePaginas%3d1%26codigoRegistro%3d903661%23903661&i=1,orcid.org/0000-0002-1180-2637,orcid.org/0000-0003-2046-602X,sem orcid,,,Universidade Estadual de Campinas,1,UNICAMP - University of Campinas,Edmundo Madeira,no info,,sem orcid,sem orcid,,,,Nelson L. S. da Fonseca,no info,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,
2,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/909121?guid=1652476505987&returnUrl=%2fresultado%2flistar%3fguid%3d1652476505987%26quantidadePaginas%3d1%26codigoRegistro%3d909121%23909121&i=4,orcid.org/0000-0002-6023-5982,orcid.org/0000-0001-5746-4154,orcid.org/0000-0002-3823-8941,,,no info,2,University of Campinas,Islene Calciolari Garcia,no info,,Luiz Eduardo Buzato,Brazil,distributed systems,distributed algorithms,fault tolerance,Alfredo Goldman,no info,University of Campinas,,,,,,,,,,,,,,,,,,,,,,,,,
3,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/906902?guid=1652476543684&returnUrl=%2fresultado%2flistar%3fguid%3d1652476543684%26quantidadePaginas%3d1%26codigoRegistro%3d906902%23906902&i=1,orcid.org/0000-0003-4462-3325,orcid.org/0000-0002-1067-6421,orcid.org/0000-0002-5259-2859,,,no info,3,University of Campinas,Orlando Lee,no info,,Cristina G. Fernandes,no info,approximation algorithms,,,Flávio K. Miyazawa,no info,University of Sao Paulo,,,,,,,,,,,,,,,,,,,,,,,,,
4,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/905255?guid=1652476580505&returnUrl=%2fresultado%2flistar%3fguid%3d1652476580505%26quantidadePaginas%3d1%26codigoRegistro%3d905255%23905255&i=1,orcid.org/0000-0002-3823-8941,sem orcid,orcid.org/0000-0002-1180-2637,,,sem orcid,4,University of Campinas,Luiz Eduardo Buzato,Brazil,distributed systems,Edmundo Madeira,no info,,,,sem orcid,sem orcid,UNICAMP - University of Campinas,distributed algorithms,fault tolerance,,,,,,,,,,,,,,,,,,,,,,,
5,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/906006?guid=1652476672092&returnUrl=%2fresultado%2flistar%3fguid%3d1652476672092%26quantidadePaginas%3d1%26codigoRegistro%3d906006%23906006&i=2,orcid.org/0000-0003-4869-5190,sem orcid,orcid.org/0000-0002-8803-0401,,,sem orcid,5,Universidade Estadual de Campinas,Guido Araujo,no info,,Rodolfo Azevedo,Brazil,,,,sem orcid,sem orcid,UNICAMP,,,,,,,,,,,,,,,,,,,,,,,,,
6,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/904588?guid=1652476732635&returnUrl=%2fresultado%2flistar%3fguid%3d1652476732635%26quantidadePaginas%3d1%26codigoRegistro%3d904588%23904588&i=1,orcid.org/0000-0003-1908-4753,orcid.org/0000-0003-4290-6508,orcid.org/0000-0003-4890-1548,,,no info,6,Universidade Estadual de Campinas Instituto de Computação,Claudia Medeiros,Brazil,Scientific data management,"Digiampietri, L.A. ; Digiampietri, L. ; Digiampietri, Luciano ; Digiampietri, Luciano Antonio",Brazil, Bioinformatics, Workflow Management,Social Network Analysis,Eliane Martins,no info,Universidade de São Paulo, Data interoperability, Open Science,,,,,,,,,,,,,,,,,,,,,,,
7,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/909740?guid=1652476857602&returnUrl=%2fresultado%2flistar%3fguid%3d1652476857602%26quantidadePaginas%3d1%26codigoRegistro%3d909740%23909740&i=1,orcid.org/0000-0001-5201-1244,orcid.org/0000-0002-6871-8428,orcid.org/0000-0001-5685-8004,,,no info,7,no info,Jacques Wainer,Brazil,,Siome Goldenstein,no info,,,,ester dal poz,no info,no info,,,,,,,,,,,,,,,,,,,,,,,,,
8,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/910848?guid=1652476900074&returnUrl=%2fresultado%2flistar%3fguid%3d1652476900074%26quantidadePaginas%3d1%26codigoRegistro%3d910848%23910848&i=1,orcid.org/0000-0002-1067-6421,sem orcid,orcid.org/0000-0003-4462-3325,,,sem orcid,8,no info,Flávio K. Miyazawa,no info,,Orlando Lee,no info,,,,sem orcid,sem orcid,University of Campinas,,,,,,,,,,,,,,,,,,,,,,,,,
9,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/913827?guid=1652476955862&returnUrl=%2fresultado%2flistar%3fguid%3d1652476955862%26quantidadePaginas%3d1%26codigoRegistro%3d913827%23913827&i=1,orcid.org/0000-0003-4869-5190,orcid.org/0000-0002-0375-1657,orcid.org/0000-0002-9539-6874,,,Universidade Federal de Minas Gerais,9,Universidade Estadual de Campinas,Guido Araujo,no info,,Sandro Rigo,Brazil,Computer Architecture,Compilers,Code Optimization,Fernando Magno Quintão Pereira,Brazil,Universidade Estadual de Campinas,,,Compilers, Programming Languages,,,,,,,,,,,High-Performance Computing,,,,,,,,,,
10,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/910355?guid=1652477003957&returnUrl=%2fresultado%2flistar%3fguid%3d1652477003957%26quantidadePaginas%3d1%26codigoRegistro%3d910355%23910355&i=1,orcid.org/0000-0003-3333-6822,orcid.org/0000-0001-9174-2816,sem orcid,,,Universidade de Sao Paulo,10,University of Campinas,Zanoni Dias,Brazil,,sem orcid,sem orcid,,,,Joao C. Setubal,no info,sem orcid,,,Bioinformatics, Genomics,,,,,,, Metagenomics, Microbiomes, Transcriptomics, Computational Biology,,,,,,,,,,,
11,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/918342?guid=1652477047539&returnUrl=%2fresultado%2flistar%3fguid%3d1652477047539%26quantidadePaginas%3d1%26codigoRegistro%3d918342%23918342&i=2,orcid.org/0000-0002-6540-8686,orcid.org/0000-0002-7002-875X,orcid.org/0000-0003-2592-3664,,,University of Campinas,11,University of Campinas,Paulo de Geus,Brazil,Computer Security,Carlos Maziero,Brazil,Operating Systems,Computer Security,Distributed Systems,Ricardo Dahab,Brazil,Universidade Tecnológica Federal do Paraná,,,Cryptography, Graph Theory,,,,,,,,,,,,,,,,,,,,,
12,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/912564?guid=1652477146079&returnUrl=%2fresultado%2flistar%3fguid%3d1652477146079%26quantidadePaginas%3d1%26codigoRegistro%3d912564%23912564&i=5,orcid.org/0000-0003-4549-7105,orcid.org/0000-0003-0678-4777,orcid.org/0000-0003-4290-6508,,,University of Campinas,12,no info,Cecilia Mary Fischer Rubira Rubira,no info,,Eliane Martins,no info,,,,Regina Moraes,Brazil,no info,,,,,,,,,,,,,,,,,,,,,,,,,
13,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/911614?guid=1652477224156&returnUrl=%2fresultado%2flistar%3fguid%3d1652477224156%26quantidadePaginas%3d1%26codigoRegistro%3d911614%23911614&i=5,orcid.org/0000-0003-4462-3325,sem orcid,orcid.org/0000-0001-6030-2682,,,sem orcid,13,University of Campinas,Orlando Lee,no info,,Eduardo C. Xavier,Brazil,,,,sem orcid,sem orcid,University of Campinas,,,,,,,,,,,,,,,,,,,,,,,,,
14,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/917829?guid=1652477282880&returnUrl=%2fresultado%2flistar%3fguid%3d1652477282880%26quantidadePaginas%3d1%26codigoRegistro%3d917829%23917829&i=3,orcid.org/0000-0003-1908-4753,orcid.org/0000-0002-7941-6281,orcid.org/0000-0001-6305-9059,,,Universidade Federal de Santa Catarina,14,Universidade Estadual de Campinas Instituto de Computação,Claudia Medeiros,Brazil,Scientific data management,Luiz Fernando Bittencourt,no info,,,,Renato Fileto,no info,Universidade Estadual de Campinas, Data interoperability, Open Science,,,,,,,,,,,,,,,,,,,,,,,
15,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/911592,orcid.org/0000-0002-9529-4253,sem orcid,sem orcid,,,sem orcid,15,University of Campinas,Pedro J. de Rezende,no info,,sem orcid,sem orcid,,,,sem orcid,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,
16,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/915655?guid=1652477484466&returnUrl=%2fresultado%2flistar%3fguid%3d1652477484466%26quantidadePaginas%3d1%26codigoRegistro%3d915655%23915655&i=7,orcid.org/0000-0002-4236-8212,orcid.org/0000-0003-4929-7258,orcid.org/0000-0003-0125-630X,,,Universidade de São Paulo Instituto de Ciências Matemáticas e de Computação,16,Universidade Estadual de Campinas,Anderson Rocha,Brazil,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,,,Agma Traina,no info,University of Campinas,,,,,,,,,,,,,,,,,,,,,,,,,
17,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/915606?guid=1652477548641&returnUrl=%2fresultado%2flistar%3fguid%3d1652477548641%26quantidadePaginas%3d1%26codigoRegistro%3d915606%23915606&i=18,orcid.org/0000-0002-1756-4852,sem orcid,orcid.org/0000-0001-8309-6367,,,sem orcid,17,Universidade Estadual de Campinas,André Santanchè,no info,,Ariadne Carvalho,no info,,,,sem orcid,sem orcid,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,
18,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/912865?guid=1652477585486&returnUrl=%2fresultado%2flistar%3fguid%3d1652477585486%26quantidadePaginas%3d1%26codigoRegistro%3d912865%23912865&i=1,orcid.org/0000-0003-4869-5190,orcid.org/0000-0002-6790-5184,orcid.org/0000-0002-3891-1593,,,Universidade Federal de Pelotas,18,Universidade Estadual de Campinas,Guido Araujo,no info,,mario cortes,no info,,,,Andre Rauber Du Bois,no info,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,
19,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/914807?guid=1652477626184&returnUrl=%2fresultado%2flistar%3fguid%3d1652477626184%26quantidadePaginas%3d1%26codigoRegistro%3d914807%23914807&i=2,orcid.org/0000-0001-6030-2682,orcid.org/0000-0002-6946-9670,orcid.org/0000-0002-1067-6421,,,Universidade Federal de São Paulo,19,University of Campinas,Eduardo C. Xavier,Brazil,,Flávio K. Miyazawa,no info,,,,"Yanasse, H.H.",Brazil,no info,,,,,,,,,,,,,,,,,,,,,,,,,
20,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/918754?guid=1652477669486&returnUrl=%2fresultado%2flistar%3fguid%3d1652477669486%26quantidadePaginas%3d1%26codigoRegistro%3d918754%23918754&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0002-4312-202X,orcid.org/0000-0001-5295-3514,,,Universidade Estadual Paulista Júlio de Mesquita Filho,20,Universidade Estadual de Campinas,Ricardo Torres,Netherlands,multimedia retrieval,Luiz Camolesi Júnior,no info,,,,Milton Ribeiro,Brazil,Universidade Estadual de Campinas,multimedia classification,machine learning,,,,,,,,,,,,,,information visualization,data science,,,,,,,,
21,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/917385?guid=1652477710770&returnUrl=%2fresultado%2flistar%3fguid%3d1652477710770%26quantidadePaginas%3d1%26codigoRegistro%3d917385%23917385&i=5,orcid.org/0000-0003-2046-602X,orcid.org/0000-0002-3372-3366,sem orcid,,,Universidade Estadual de Campinas,21,Universidade Estadual de Campinas,Nelson L. S. da Fonseca,no info,,sem orcid,sem orcid,,,,Leandro Villas,Brazil,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,
22,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/915715,orcid.org/0000-0002-6540-8686,orcid.org/0000-0001-5227-7165,orcid.org/0000-0002-6731-1482,,,Universidade de São Paulo,22,University of Campinas,Paulo de Geus,Brazil,Computer Security,Julio Cesar Lopez Hernandez,Mexico,,,,Marcos Simplicio,Brazil,no info,,,,,,,,,,,,,,,,,,,,,,,,,
23,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/915719?guid=1652477865933&returnUrl=%2fresultado%2flistar%3fguid%3d1652477865933%26quantidadePaginas%3d1%26codigoRegistro%3d915719%23915719&i=1,orcid.org/0000-0002-5945-0845,sem orcid,orcid.org/0000-0002-8972-080X,,,sem orcid,23,Universidade Estadual de Campinas,Cid de Souza,Brazil,Integer Programming,Fábio Usberti,no info,,,,sem orcid,sem orcid,State University of Campinas,Combinatorial Optimization,Algorithms (design and analysis),,,,,,,,,,,,,,Operations Research,,,,,,,,,
24,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/922125?guid=1652477901512&returnUrl=%2fresultado%2flistar%3fguid%3d1652477901512%26quantidadePaginas%3d1%26codigoRegistro%3d922125%23922125&i=1,orcid.org/0000-0002-4236-8212,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-2867-4838,,,University of Campinas,24,Universidade Estadual de Campinas,Anderson Rocha,Brazil,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,Daniel Carlos Guimarães Pedronette,Brazil,,,,Helio Pedrini,Brazil,Universidade Estadual Paulista Júlio de Mesquita Filho,,,image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,,,,,,
25,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/919112?guid=1652478114160&returnUrl=%2fresultado%2flistar%3fguid%3d1652478114160%26quantidadePaginas%3d1%26codigoRegistro%3d919112%23919112&i=1,sem orcid,orcid.org/0000-0001-9625-5259,orcid.org/0000-0001-8309-6367,,,Universidade Estadual de Maringá,25,sem orcid,sem orcid,sem orcid,,Ariadne Carvalho,no info,,,,Itana Gimenes,Brazil,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,
26,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/919545?guid=1652478163144&returnUrl=%2fresultado%2flistar%3fguid%3d1652478163144%26quantidadePaginas%3d1%26codigoRegistro%3d919545%23919545&i=17,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-6023-5982,orcid.org/0000-0002-5591-3750,,,University of Campinas,26,UNICAMP - University of Campinas,Edmundo Madeira,no info,,Jo Ueyama,no info,,,,Islene Calciolari Garcia,no info,Universidade de São Paulo Instituto de Ciências Matemáticas e de Computação,,,,,,,,,,,,,,,,,,,,,,,,,
27,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/920397?guid=1652478207745&returnUrl=%2fresultado%2flistar%3fguid%3d1652478207745%26quantidadePaginas%3d1%26codigoRegistro%3d920397%23920397&i=1,orcid.org/0000-0003-0125-630X,orcid.org/0000-0003-2059-9463,orcid.org/0000-0002-4236-8212,,,Universidade de São Paulo,27,University of Campinas,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,Anderson Rocha,Brazil,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,,,Moacir Ponti,no info,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,
28,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/918039?guid=1652478239070&returnUrl=%2fresultado%2flistar%3fguid%3d1652478239070%26quantidadePaginas%3d1%26codigoRegistro%3d918039%23918039&i=1,orcid.org/0000-0002-4236-8212,orcid.org/0000-0003-1531-7249,sem orcid,,,no info,28,Universidade Estadual de Campinas,Anderson Rocha,Brazil,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,sem orcid,sem orcid,,,,Marina Atsumi Oikawa,Brazil,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,
29,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/918032?guid=1652478313307&returnUrl=%2fresultado%2flistar%3fguid%3d1652478313307%26quantidadePaginas%3d1%26codigoRegistro%3d918032%23918032&i=1,orcid.org/0000-0002-9539-6874,orcid.org/0000-0003-1752-6255,sem orcid,,,Advanced Micro Devices,29,Universidade Estadual de Campinas,Sandro Rigo,Brazil,Computer Architecture,sem orcid,sem orcid,,,,Mauricio Breternitz,no info,sem orcid,Compilers,Code Optimization,,,,,,,,,,,,,,High-Performance Computing,,,,,,,,,
30,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/918796?guid=1652478360390&returnUrl=%2fresultado%2flistar%3fguid%3d1652478360390%26quantidadePaginas%3d1%26codigoRegistro%3d918796%23918796&i=1,orcid.org/0000-0003-4237-4281,sem orcid,orcid.org/0000-0002-8340-4881,,,sem orcid,30,University of Campinas,C. N. Campos,Brazil,,"Simone Dantas; Dantas, S.; S. Dantas",no info,Discrete Matematics,Computer Science,,sem orcid,sem orcid,no info,,,,,,,,,,,,,,,,,,,,,,,,,
31,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/918322?guid=1652478397788&returnUrl=%2fresultado%2flistar%3fguid%3d1652478397788%26quantidadePaginas%3d1%26codigoRegistro%3d918322%23918322&i=1,orcid.org/0000-0002-8803-0401,orcid.org/0000-0002-9539-6874,orcid.org/0000-0002-0375-1657,,,Universidade Estadual de Campinas,31,UNICAMP,Rodolfo Azevedo,Brazil,,Fernando Magno Quintão Pereira,Brazil,Compilers, Programming Languages,,Sandro Rigo,Brazil,Universidade Federal de Minas Gerais,,,Computer Architecture,Compilers,,,,,,,Code Optimization,High-Performance Computing,,,,,,,,,,,,,
32,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/926549?guid=1652478425582&returnUrl=%2fresultado%2flistar%3fguid%3d1652478425582%26quantidadePaginas%3d1%26codigoRegistro%3d926549%23926549&i=7,orcid.org/0000-0002-1756-4852,sem orcid,orcid.org/0000-0003-1908-4753,,,sem orcid,32,Universidade Estadual de Campinas,André Santanchè,no info,,Claudia Medeiros,Brazil,Scientific data management, Data interoperability, Open Science,sem orcid,sem orcid,Universidade Estadual de Campinas Instituto de Computação,,,,,,,,,,,,,,,,,,,,,,,,,
33,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/932085?guid=1652478460861&returnUrl=%2fresultado%2flistar%3fguid%3d1652478460861%26quantidadePaginas%3d1%26codigoRegistro%3d932085%23932085&i=1,orcid.org/0000-0003-2046-602X,sem orcid,orcid.org/0000-0001-6305-9059,,,sem orcid,33,Universidade Estadual de Campinas,Nelson L. S. da Fonseca,no info,,Luiz Fernando Bittencourt,no info,,,,sem orcid,sem orcid,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,
34,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/927706?guid=1652478503210&returnUrl=%2fresultado%2flistar%3fguid%3d1652478503210%26quantidadePaginas%3d1%26codigoRegistro%3d927706%23927706&i=1,orcid.org/0000-0002-4830-5298,orcid.org/0009-0000-2453-6617,orcid.org/0000-0003-0683-7672,,,no info,34,Universidade Estadual de Campinas,Maria Cecilia Calani Baranauskas,Brazil,HCI,Anamaria Gomide,no info,,,,Amanda Meincke Melo,no info,no info,Socially Aware Design,Organizational Semiotics,,,,,,,,,,,,,,Participatory Design,,,,,,,,,
35,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/918763?guid=1652478560120&returnUrl=%2fresultado%2flistar%3fguid%3d1652478560120%26quantidadePaginas%3d1%26codigoRegistro%3d918763%23918763&i=1,orcid.org/0000-0003-2046-602X,sem orcid,orcid.org/0000-0002-3372-3366,,,sem orcid,35,Universidade Estadual de Campinas,Nelson L. S. da Fonseca,no info,,Leandro Villas,Brazil,,,,sem orcid,sem orcid,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,
36,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/926578?guid=1652478599968&returnUrl=%2fresultado%2flistar%3fguid%3d1652478599968%26quantidadePaginas%3d1%26codigoRegistro%3d926578%23926578&i=1,orcid.org/0000-0001-8309-6367,orcid.org/0000-0003-3589-1619,orcid.org/0000-0001-5396-9868,,,Universidade Federal do Rio Grande do Sul,36,Universidade Estadual de Campinas,Ariadne Carvalho,no info,,Eduardo Valle,Brazil,,,,Renata Galante,no info,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,
37,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/926557?guid=1652478646036&returnUrl=%2fresultado%2flistar%3fguid%3d1652478646036%26quantidadePaginas%3d1%26codigoRegistro%3d926557%23926557&i=1,orcid.org/0000-0003-4549-7105,sem orcid,orcid.org/0000-0001-8309-6367,,,sem orcid,37,no info,Cecilia Mary Fischer Rubira Rubira,no info,,Ariadne Carvalho,no info,,,,sem orcid,sem orcid,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,
38,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/927711?guid=1652478690927&returnUrl=%2fresultado%2flistar%3fguid%3d1652478690927%26quantidadePaginas%3d1%26codigoRegistro%3d927711%23927711&i=1,orcid.org/0000-0003-4290-6508,sem orcid,orcid.org/0000-0003-1908-4753,,,sem orcid,38,no info,Eliane Martins,no info,,Claudia Medeiros,Brazil,Scientific data management, Data interoperability, Open Science,sem orcid,sem orcid,Universidade Estadual de Campinas Instituto de Computação,,,,,,,,,,,,,,,,,,,,,,,,,
39,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/934657?guid=1652478732964&returnUrl=%2fresultado%2flistar%3fguid%3d1652478732964%26quantidadePaginas%3d1%26codigoRegistro%3d934657%23934657&i=1,orcid.org/0000-0003-2046-602X,orcid.org/0000-0002-1180-2637,orcid.org/0000-0002-7789-3359,,,UNICAMP - University of Campinas,39,Universidade Estadual de Campinas,Nelson L. S. da Fonseca,no info,,Luís Henrique M. K. Costa,no info,,,,Edmundo Madeira,no info,Universidade Federal do Rio de Janeiro,,,,,,,,,,,,,,,,,,,,,,,,,
40,DOUTORADO,https://repositorio.unicamp.br/acervo/detalhe/906917?guid=1652478759263&returnUrl=%2fresultado%2flistar%3fguid%3d1652478759263%26quantidadePaginas%3d1%26codigoRegistro%3d906917%23906917&i=1,orcid.org/0000-0003-3333-6822,orcid.org/0000-0003-2608-4807,orcid.org/0000-0003-4462-3325,orcid.org/0000-0002-3527-6870,orcid.org/0000-0001-6822-931X,Universidade Estadual de Campinas,40,University of Campinas,Zanoni Dias,Brazil,,Orlando Lee,no info,,,,Guilherme P. Telles,Brazil,University of Campinas,,,,,Embrapa Informática Agropecuária,Maria Emilia Walter,Brazil,"da Silva, FR",no info,University of Brasilia,,,,,,,,bioinformatics, plant molecular biology,bioinformatics, non-coding RNAs, genomics, transcriptomics, genome rearrangements,
