,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5,avaliador2_filiação,row_idx,avaliador1_nome,avaliador1_país,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_keyword_5,orientador_nome,orientador_país,orientador_keyword_1,avaliador1_filiação,orientador_filiação,avaliador2_nome,avaliador2_país,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,avaliador2_keyword_1,avaliador2_keyword_2,avaliador4_nome,avaliador4_país,avaliador5_nome,avaliador5_país,avaliador5_filiação,avaliador4_filiação,avaliador3_nome,avaliador3_país,avaliador3_filiação,orientador_keyword_5,avaliador2_keyword_3,avaliador2_keyword_4,avaliador3_keyword_1,avaliador4_keyword_1,avaliador4_keyword_2,avaliador3_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4
0,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/928470?guid=1652484653650&returnUrl=%2fresultado%2flistar%3fguid%3d1652484653650%26quantidadePaginas%3d1%26codigoRegistro%3d928470%23928470&i=9,orcid.org/0000-0002-4236-8212,orcid.org/0000-0001-9772-263X,,,,,,0,Ricardo Torres,Netherlands,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,Anderson Rocha,Brazil,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,Universidade Estadual de Campinas,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,
1,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/926600?guid=1652484707216&returnUrl=%2fresultado%2flistar%3fguid%3d1652484707216%26quantidadePaginas%3d1%26codigoRegistro%3d926600%23926600&i=1,orcid.org/0000-0003-0125-630X,orcid.org/0000-0003-2059-9463,orcid.org/0000-0002-4236-8212,,,,Universidade Estadual de Campinas,1,Moacir Ponti,no info,,,,,,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,Universidade de São Paulo,University of Campinas,Anderson Rocha,Brazil,,,,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,,,,,,,,,,,,,,,,,,,
2,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/931956?guid=1652484771136&returnUrl=%2fresultado%2flistar%3fguid%3d1652484771136%26quantidadePaginas%3d1%26codigoRegistro%3d931956%23931956&i=1,orcid.org/0000-0002-9529-4253,orcid.org/0000-0003-2998-6785,orcid.org/0000-0001-6030-2682,,,,University of Campinas,2,LUIS MEIRA,Brazil,optimization,Algorithms,Petroleum engineering,graphs,,Pedro J. de Rezende,no info,,State University of Campinas,University of Campinas,Eduardo C. Xavier,Brazil,,,,,,,,,,,,,,,,,,,,,,,
3,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/926523?guid=1652484808685&returnUrl=%2fresultado%2flistar%3fguid%3d1652484808685%26quantidadePaginas%3d1%26codigoRegistro%3d926523%23926523&i=1,orcid.org/0000-0001-6030-2682,orcid.org/0000-0002-4865-5896,orcid.org/0000-0002-8972-080X,,,,State University of Campinas,3,Daniel Macedo Batista,Brazil,Computer Networks; Computer Science,,,,,Eduardo C. Xavier,Brazil,,Universidade de São Paulo,University of Campinas,Fábio Usberti,no info,,,,,,,,,,,,,,,,,,,,,,,
4,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/931530?guid=1652484907535&returnUrl=%2fresultado%2flistar%3fguid%3d1652484907535%26quantidadePaginas%3d1%26codigoRegistro%3d931530%23931530&i=1,orcid.org/0000-0002-5945-0845,orcid.org/0000-0002-3434-3074,orcid.org/0000-0002-8972-080X,,,,State University of Campinas,4,yuri frota,no info,,,,,,Cid de Souza,Brazil,Integer Programming,Universidade Federal Fluminense,Universidade Estadual de Campinas,Fábio Usberti,no info,Combinatorial Optimization,Algorithms (design and analysis),Operations Research,,,,,,,,,,,,,,,,,,,,
5,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/926582?guid=1652484950397&returnUrl=%2fresultado%2flistar%3fguid%3d1652484950397%26quantidadePaginas%3d1%26codigoRegistro%3d926582%23926582&i=1,orcid.org/0000-0003-4869-5190,orcid.org/0000-0001-8824-3055,orcid.org/0000-0001-6305-9059,,,,Universidade Estadual de Campinas,5,Alexandro Baldassin,Brazil,Computer architecture,Parallel Programming,Transactional Memory,Persistent Memory,,Guido Araujo,no info,,"Universidade Estadual Paulista, Instituto de Geociências e Ciências Exatas",Universidade Estadual de Campinas,Luiz Fernando Bittencourt,no info,,,,,,,,,,,,,,,,,,,,,,,
6,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/931534?guid=1652484987349&returnUrl=%2fresultado%2flistar%3fguid%3d1652484987349%26quantidadePaginas%3d1%26codigoRegistro%3d931534%23931534&i=1,sem orcid,sem orcid,orcid.org/0000-0002-7002-875X,,,,University of Campinas,6,sem orcid,sem orcid,,,,,,sem orcid,sem orcid,,sem orcid,sem orcid,Ricardo Dahab,Brazil,,,,Cryptography, Graph Theory,,,,,,,,,,,,,,,,,,
7,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/932501?guid=1652485141901&returnUrl=%2fresultado%2flistar%3fguid%3d1652485141901%26quantidadePaginas%3d1%26codigoRegistro%3d932501%23932501&i=1,orcid.org/0000-0003-0125-630X,orcid.org/0000-0001-8522-2056,orcid.org/0000-0003-2430-2030,,,,Universidade Federal do Paraná,7,Silvio GUIMARAES,Brazil,,,,,,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,Pontifícia Universidade Católica de Minas Gerais,University of Campinas,David Menotti,no info,,,,,,,,,,,,,,,,,,,,,,,
8,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/932506?guid=1652485190767&returnUrl=%2fresultado%2flistar%3fguid%3d1652485190767%26quantidadePaginas%3d1%26codigoRegistro%3d932506%23932506&i=2,sem orcid,orcid.org/0000-0002-8639-3532,orcid.org/0000-0002-8340-4881,orcid.org/0000-0003-4462-3325,,,no info,8,Sheila Almeida,Brazil,,,,,,sem orcid,sem orcid,,Federal University of Technology - Paraná,sem orcid,"Simone Dantas; Dantas, S.; S. Dantas",no info,,,,Discrete Matematics,Computer Science,,,,,,,Orlando Lee,no info,University of Campinas,,,,,,,,,
9,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/931965?guid=1652485252885&returnUrl=%2fresultado%2flistar%3fguid%3d1652485252885%26quantidadePaginas%3d1%26codigoRegistro%3d931965%23931965&i=2,orcid.org/0000-0003-4462-3325,sem orcid,orcid.org/0000-0002-8972-080X,,,,State University of Campinas,9,sem orcid,sem orcid,,,,,,Orlando Lee,no info,,sem orcid,University of Campinas,Fábio Usberti,no info,,,,,,,,,,,,,,,,,,,,,,,
