,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,orientador_filiação,row_idx,avaliador1_filiação,avaliador2_filiação,orientador_nome,orientador_país,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,avaliador2_nome,avaliador2_país,avaliador1_nome,avaliador1_país,orientador_keyword_5,avaliador2_keyword_1,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador4_nome,avaliador4_país,avaliador4_filiação,avaliador3_filiação,avaliador3_nome,avaliador3_país,avaliador1_keyword_4,avaliador1_keyword_5,avaliador2_keyword_2,avaliador2_keyword_3,avaliador1_keyword_6,avaliador2_keyword_4,avaliador2_keyword_5,avaliador2_keyword_6,avaliador2_keyword_7,avaliador2_keyword_8,avaliador2_keyword_9,avaliador2_keyword_10,avaliador2_keyword_11,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador3_keyword_4
0,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/953355?guid=1652546717193&returnUrl=%2fresultado%2flistar%3fguid%3d1652546717193%26quantidadePaginas%3d1%26codigoRegistro%3d953355%23953355&i=1,orcid.org/0000-0003-2046-602X,orcid.org/0000-0001-9756-378X,orcid.org/0000-0002-1067-6421,,,Universidade Estadual de Campinas,0,Federal University of Bahia,no info,Nelson L. S. da Fonseca,no info,,,,,Flávio K. Miyazawa,no info,"Figueiredo, G.B.",no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/947723?guid=1652546767341&returnUrl=%2fresultado%2flistar%3fguid%3d1652546767341%26quantidadePaginas%3d1%26codigoRegistro%3d947723%23947723&i=1,orcid.org/0000-0001-6030-2682,sem orcid,orcid.org/0000-0002-1067-6421,,,University of Campinas,1,sem orcid,no info,Eduardo C. Xavier,Brazil,,,,,Flávio K. Miyazawa,no info,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/950532?guid=1652546812514&returnUrl=%2fresultado%2flistar%3fguid%3d1652546812514%26quantidadePaginas%3d1%26codigoRegistro%3d950532%23950532&i=2,orcid.org/0000-0002-8803-0401,orcid.org/0000-0003-3738-6448,sem orcid,,,UNICAMP,2,Universidade de São Paulo,sem orcid,Rodolfo Azevedo,Brazil,,,,,sem orcid,sem orcid,Bruno Albertini,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/947734?guid=1652546846628&returnUrl=%2fresultado%2flistar%3fguid%3d1652546846628%26quantidadePaginas%3d1%26codigoRegistro%3d947734%23947734&i=1,sem orcid,sem orcid,orcid.org/0000-0003-4462-3325,,,sem orcid,3,sem orcid,University of Campinas,sem orcid,sem orcid,,,,,Orlando Lee,no info,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/951382?guid=1652546888549&returnUrl=%2fresultado%2flistar%3fguid%3d1652546888549%26quantidadePaginas%3d1%26codigoRegistro%3d951382%23951382&i=4,orcid.org/0000-0003-2046-602X,sem orcid,orcid.org/0000-0002-3372-3366,,,Universidade Estadual de Campinas,4,sem orcid,Universidade Estadual de Campinas,Nelson L. S. da Fonseca,no info,,,,,Leandro Villas,Brazil,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/951350?guid=1652546943728&returnUrl=%2fresultado%2flistar%3fguid%3d1652546943728%26quantidadePaginas%3d1%26codigoRegistro%3d951350%23951350&i=1,orcid.org/0000-0002-2914-5380,sem orcid,orcid.org/0000-0002-9529-4253,,,Universidade Estadual de Campinas,5,sem orcid,University of Campinas,Alexandre Falcao,Brazil,image processing, visualization, and analysis, (interactive) machine learning ,Pedro J. de Rezende,no info,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/951355?guid=1652547093586&returnUrl=%2fresultado%2flistar%3fguid%3d1652547093586%26quantidadePaginas%3d1%26codigoRegistro%3d951355%23951355&i=1,orcid.org/0000-0002-2914-5380,sem orcid,orcid.org/0000-0001-5015-2131,,,Universidade Estadual de Campinas,6,sem orcid,no info,Alexandre Falcao,Brazil,image processing, visualization, and analysis, (interactive) machine learning ,Neucimar Leite,no info,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/951342?guid=1652547139749&returnUrl=%2fresultado%2flistar%3fguid%3d1652547139749%26quantidadePaginas%3d1%26codigoRegistro%3d951342%23951342&i=1,orcid.org/0000-0002-2914-5380,orcid.org/0000-0003-0125-630X,sem orcid,,,Universidade Estadual de Campinas,7,University of Campinas,sem orcid,Alexandre Falcao,Brazil,image processing, visualization, and analysis, (interactive) machine learning ,sem orcid,sem orcid,Helio Pedrini,Brazil,,,image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/950343?guid=1652547199871&returnUrl=%2fresultado%2flistar%3fguid%3d1652547199871%26quantidadePaginas%3d1%26codigoRegistro%3d950343%23950343&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0003-2973-2232,orcid.org/0000-0002-4236-8212,,,Universidade Estadual de Campinas,8,Universidade Federal de Minas Gerais,Universidade Estadual de Campinas,Ricardo Torres,Netherlands,multimedia retrieval,multimedia classification,machine learning,information visualization,Anderson Rocha,Brazil,Erickson R. Nascimento,Brazil,data science,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,Computer Vision,Pattern Recognition,Underwater Imaging,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/953592?guid=1652547225588&returnUrl=%2fresultado%2flistar%3fguid%3d1652547225588%26quantidadePaginas%3d1%26codigoRegistro%3d953592%23953592&i=1,orcid.org/0000-0003-4290-6508,orcid.org/0000-0002-1756-4852,sem orcid,,,no info,9,Universidade Estadual de Campinas,sem orcid,Eliane Martins,no info,,,,,sem orcid,sem orcid,André Santanchè,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
