,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5,orientador_filiação,row_idx,avaliador1_filiação,avaliador2_nome,avaliador2_país,orientador_nome,orientador_país,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,orientador_keyword_5,avaliador2_filiação,avaliador1_nome,avaliador1_país,avaliador2_keyword_1,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,avaliador2_keyword_5,avaliador3_nome,avaliador3_país,avaliador4_nome,avaliador4_país,avaliador5_filiação,avaliador4_filiação,avaliador3_filiação,avaliador5_nome,avaliador5_país,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_keyword_5,avaliador1_keyword_6,avaliador2_keyword_6,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador3_keyword_4,avaliador3_keyword_5,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador4_keyword_5
0,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/968855?guid=1652561646808&returnUrl=%2fresultado%2flistar%3fguid%3d1652561646808%26quantidadePaginas%3d1%26codigoRegistro%3d968855%23968855&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0002-0512-506X,orcid.org/0000-0001-5295-3514,,,,Universidade Estadual de Campinas,0,no info,Luiz Camolesi Júnior,no info,Ricardo Torres,Netherlands,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,Universidade Estadual de Campinas,Alexandre Ferreira,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/966459?guid=1652561714517&returnUrl=%2fresultado%2flistar%3fguid%3d1652561714517%26quantidadePaginas%3d1%26codigoRegistro%3d966459%23966459&i=2,orcid.org/0000-0001-6305-9059,orcid.org/0000-0002-8803-0401,orcid.org/0000-0003-0524-3274,,,,Universidade Estadual de Campinas,1,UNICAMP,Julio Cezar Estrella,Brazil,Luiz Fernando Bittencourt,no info,,,,,,Univesity of Sao Paulo,Rodolfo Azevedo,Brazil,Distributed Systems, Cloud Computing, Internet of Things,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/965602?guid=1652561746695&returnUrl=%2fresultado%2flistar%3fguid%3d1652561746695%26quantidadePaginas%3d1%26codigoRegistro%3d965602%23965602&i=1,orcid.org/0000-0002-1756-4852,sem orcid,orcid.org/0000-0001-9772-263X,,,,Universidade Estadual de Campinas,2,sem orcid,Ricardo Torres,Netherlands,André Santanchè,no info,,,,,,Universidade Estadual de Campinas,sem orcid,sem orcid,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/970901?guid=1652561772399&returnUrl=%2fresultado%2flistar%3fguid%3d1652561772399%26quantidadePaginas%3d1%26codigoRegistro%3d970901%23970901&i=2,orcid.org/0000-0002-4830-5298,orcid.org/0000-0001-5396-9868,orcid.org/0000-0002-8803-0401,,,,Universidade Estadual de Campinas,3,Universidade Estadual de Campinas,Rodolfo Azevedo,Brazil,Maria Cecilia Calani Baranauskas,Brazil,HCI,Socially Aware Design,Organizational Semiotics,Participatory Design,,UNICAMP,Eduardo Valle,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/967948?guid=1652561805224&returnUrl=%2fresultado%2flistar%3fguid%3d1652561805224%26quantidadePaginas%3d1%26codigoRegistro%3d967948%23967948&i=2,orcid.org/0000-0003-4549-7105,sem orcid,orcid.org/0000-0003-4290-6508,,,,no info,4,sem orcid,Eliane Martins,no info,Cecilia Mary Fischer Rubira Rubira,no info,,,,,,no info,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/971455?guid=1652561833142&returnUrl=%2fresultado%2flistar%3fguid%3d1652561833142%26quantidadePaginas%3d1%26codigoRegistro%3d971455%23971455&i=2,orcid.org/0000-0003-4290-6508,sem orcid,orcid.org/0000-0003-4549-7105,,,,no info,5,sem orcid,Cecilia Mary Fischer Rubira Rubira,no info,Eliane Martins,no info,,,,,,no info,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/969439?guid=1652561859145&returnUrl=%2fresultado%2flistar%3fguid%3d1652561859145%26quantidadePaginas%3d1%26codigoRegistro%3d969439%23969439&i=2,orcid.org/0000-0002-3372-3366,orcid.org/0000-0003-2162-6523,orcid.org/0000-0002-1180-2637,,,,Universidade Estadual de Campinas,6,no info,Edmundo Madeira,no info,Leandro Villas,Brazil,,,,,,UNICAMP - University of Campinas,Eduardo Cerqueira,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/970857?guid=1652561974213&returnUrl=%2fresultado%2flistar%3fguid%3d1652561974213%26quantidadePaginas%3d1%26codigoRegistro%3d970857%23970857&i=1,orcid.org/0000-0003-4869-5190,orcid.org/0000-0001-5597-613X,orcid.org/0000-0002-0210-0908,,,,Universidade Estadual de Campinas,7,Federal University of ABC,Ricardo  Pannain,no info,Guido Araujo,no info,,,,,,Universidade Estadual de Campinas,Carlos Alberto dos Reis Filho,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/971818?guid=1652562013837&returnUrl=%2fresultado%2flistar%3fguid%3d1652562013837%26quantidadePaginas%3d1%26codigoRegistro%3d971818%23971818&i=2,orcid.org/0000-0003-1783-4231,orcid.org/0000-0002-9957-5861,orcid.org/0000-0002-5564-698X,,,,Universidade Estadual de Campinas,8,Universidade Federal do Rio Grande do Sul,Lucas Wanner,no info,Edson Borin,no info,,,,,,University of Campinas,Philippe Navaux,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/971102?guid=1652562050750&returnUrl=%2fresultado%2flistar%3fguid%3d1652562050750%26quantidadePaginas%3d1%26codigoRegistro%3d971102%23971102&i=7,orcid.org/0000-0003-3333-6822,orcid.org/0000-0001-6822-931X,orcid.org/0000-0002-8972-080X,,,,University of Campinas,9,University of Brasilia,Fábio Usberti,no info,Zanoni Dias,Brazil,,,,,,State University of Campinas,Maria Emilia Walter,Brazil,,,,,,,,,,,,,,,bioinformatics, non-coding RNAs, genomics, transcriptomics, genome rearrangements,,,,,,,,,,,,
