,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5,avaliador6,avaliador2_nome,avaliador2_país,avaliador2_keyword_1,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,row_idx,avaliador1_nome,avaliador1_país,avaliador1_keyword_1,avaliador1_filiação,orientador_nome,orientador_país,orientador_filiação,avaliador2_filiação,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,orientador_keyword_5,avaliador4_filiação,avaliador6_filiação,avaliador5_filiação,avaliador5_nome,avaliador5_país,avaliador3_filiação,avaliador6_nome,avaliador6_país,avaliador3_nome,avaliador3_país,avaliador4_nome,avaliador4_país,avaliador2_keyword_5,avaliador2_keyword_6,avaliador2_keyword_7,avaliador2_keyword_8,avaliador2_keyword_9,avaliador2_keyword_10,avaliador2_keyword_11,avaliador2_keyword_12,avaliador2_keyword_13,avaliador1_keyword_5,avaliador1_keyword_6,avaliador1_keyword_7,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador6_keyword_1,avaliador6_keyword_2,avaliador6_keyword_3,avaliador6_keyword_4,avaliador6_keyword_5,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador4_keyword_5,avaliador3_keyword_4
0,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/980786?guid=1652795020633&returnUrl=%2fresultado%2flistar%3fguid%3d1652795020633%26quantidadePaginas%3d1%26codigoRegistro%3d980786%23980786&i=1,orcid.org/0000-0003-1783-4231,orcid.org/0000-0001-8824-3055,orcid.org/0000-0002-9539-6874,,,,,Sandro Rigo,Brazil,Computer Architecture,Compilers,Code Optimization,High-Performance Computing,0,Alexandro Baldassin,Brazil,Computer architecture,"Universidade Estadual Paulista, Instituto de Geociências e Ciências Exatas",Edson Borin,no info,Universidade Estadual de Campinas,Universidade Estadual de Campinas,Parallel Programming,Transactional Memory,Persistent Memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/980739?guid=1652795046025&returnUrl=%2fresultado%2flistar%3fguid%3d1652795046025%26quantidadePaginas%3d1%26codigoRegistro%3d980739%23980739&i=1,orcid.org/0000-0002-8803-0401,orcid.org/0000-0003-3738-6448,orcid.org/0000-0002-9539-6874,,,,,Sandro Rigo,Brazil,Computer Architecture,Compilers,Code Optimization,High-Performance Computing,1,Bruno Albertini,no info,,Universidade de São Paulo,Rodolfo Azevedo,Brazil,UNICAMP,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/980364?guid=1652564340898&returnUrl=%2fresultado%2flistar%3fguid%3d1652564340898%26quantidadePaginas%3d1%26codigoRegistro%3d980364%23980364&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0003-0125-630X,orcid.org/0000-0003-3589-1619,,,,,Renata Galante,no info,,,,,2,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,University of Campinas,Ricardo Torres,Netherlands,Universidade Estadual de Campinas,Universidade Federal do Rio Grande do Sul,,,,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/983860?guid=1652564370935&returnUrl=%2fresultado%2flistar%3fguid%3d1652564370935%26quantidadePaginas%3d1%26codigoRegistro%3d983860%23983860&i=1,orcid.org/0000-0003-2608-4807,sem orcid,orcid.org/0000-0003-0125-630X,,,,,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,,,,3,sem orcid,sem orcid,,sem orcid,Guilherme P. Telles,Brazil,Universidade Estadual de Campinas,University of Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/984825?guid=1652564400766&returnUrl=%2fresultado%2flistar%3fguid%3d1652564400766%26quantidadePaginas%3d1%26codigoRegistro%3d984825%23984825&i=1,orcid.org/0000-0001-5201-1244,sem orcid,orcid.org/0000-0002-4321-9075,,,,,Adín Ramírez Rivera,Norway,,,,,4,sem orcid,sem orcid,,sem orcid,Jacques Wainer,Brazil,no info,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/984388?guid=1652564664068&returnUrl=%2fresultado%2flistar%3fguid%3d1652564664068%26quantidadePaginas%3d1%26codigoRegistro%3d984388%23984388&i=3,orcid.org/0000-0001-9772-263X,sem orcid,orcid.org/0000-0001-9068-938X,,,,,Sandra Avila,no info,,,,,5,sem orcid,sem orcid,,sem orcid,Ricardo Torres,Netherlands,Universidade Estadual de Campinas,Universidade Estadual de Campinas,,,,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/983916?guid=1652564692442&returnUrl=%2fresultado%2flistar%3fguid%3d1652564692442%26quantidadePaginas%3d1%26codigoRegistro%3d983916%23983916&i=1,orcid.org/0000-0002-4236-8212,orcid.org/0000-0002-9104-613X,orcid.org/0000-0002-5243-0921,,,,,Fernanda Andaló,no info,,,,,6,Tiago Fernandes Tavares,Brazil,Music Information Retrieval,no info,Anderson Rocha,Brazil,Universidade Estadual de Campinas,no info,New Interfaces for Musical Expression,Digital Signal Processing,,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/984216?guid=1652564726245&returnUrl=%2fresultado%2flistar%3fguid%3d1652564726245%26quantidadePaginas%3d1%26codigoRegistro%3d984216%23984216&i=1,orcid.org/0000-0003-4869-5190,orcid.org/0000-0002-0375-1657,orcid.org/0000-0002-9539-6874,,,,,Sandro Rigo,Brazil,Computer Architecture,Compilers,Code Optimization,High-Performance Computing,7,Fernando Magno Quintão Pereira,Brazil,Compilers,Universidade Federal de Minas Gerais,Guido Araujo,no info,Universidade Estadual de Campinas,Universidade Estadual de Campinas, Programming Languages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/984319?guid=1652564759960&returnUrl=%2fresultado%2flistar%3fguid%3d1652564759960%26quantidadePaginas%3d1%26codigoRegistro%3d984319%23984319&i=1,orcid.org/0000-0002-4321-9075,orcid.org/0000-0003-0125-630X,orcid.org/0000-0003-3861-7260,,,,,Roberto Hirata Jr.,Brazil,,,,,8,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,University of Campinas,Adín Ramírez Rivera,Norway,Universidade Estadual de Campinas,Universidade de São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/983997?guid=1652564786158&returnUrl=%2fresultado%2flistar%3fguid%3d1652564786158%26quantidadePaginas%3d1%26codigoRegistro%3d983997%23983997&i=1,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-7779-1950,orcid.org/0000-0001-9772-263X,,,,,Ricardo Torres,Netherlands,multimedia retrieval,multimedia classification,machine learning,information visualization,9,Tiago Carvalho,Brazil,,Instituto Federal de Educação Ciência e Tecnologia de São Paulo,Helio Pedrini,Brazil,University of Campinas,Universidade Estadual de Campinas,,,,image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,data science,,,,,,,,,,,,,,,,,,,,,,,,,
