,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5,avaliador1_filiação,row_idx,avaliador2_filiação,orientador_filiação,orientador_nome,orientador_país,avaliador2_nome,avaliador2_país,avaliador1_nome,avaliador1_país,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,avaliador2_keyword_1,avaliador4_filiação,avaliador4_nome,avaliador4_país,avaliador5_filiação,avaliador5_nome,avaliador5_país,avaliador3_nome,avaliador3_país,avaliador3_filiação,avaliador1_keyword_5,avaliador2_keyword_2,avaliador1_keyword_6,avaliador1_keyword_7,avaliador1_keyword_8,avaliador1_keyword_9,avaliador1_keyword_10,avaliador1_keyword_11,avaliador2_keyword_3,avaliador2_keyword_4,orientador_keyword_5,avaliador2_keyword_5,avaliador2_keyword_6,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador3_keyword_4,avaliador4_keyword_1,avaliador4_keyword_2,avaliador3_keyword_5,avaliador4_keyword_3,avaliador4_keyword_4,avaliador4_keyword_5
0,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/993994?guid=1652795086740&returnUrl=%2fresultado%2flistar%3fguid%3d1652795086740%26quantidadePaginas%3d1%26codigoRegistro%3d993994%23993994&i=1,orcid.org/0000-0003-0125-630X,orcid.org/0000-0003-0040-0752,orcid.org/0000-0001-9068-938X,,,,no info,0,Universidade Estadual de Campinas,University of Campinas,Helio Pedrini,Brazil,Sandra Avila,no info,"Nunes, FLS",Brazil,,,,,image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1082810?guid=1652795114393&returnUrl=%2fresultado%2flistar%3fguid%3d1652795114393%26quantidadePaginas%3d1%26codigoRegistro%3d1082810%231082810&i=1,orcid.org/0000-0002-4236-8212,sem orcid,orcid.org/0000-0003-0125-630X,,,,sem orcid,1,University of Campinas,Universidade Estadual de Campinas,Anderson Rocha,Brazil,Helio Pedrini,Brazil,sem orcid,sem orcid,,,,,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,,,,image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/994025?guid=1652795220435&returnUrl=%2fresultado%2flistar%3fguid%3d1652795220435%26quantidadePaginas%3d1%26codigoRegistro%3d994025%23994025&i=1,orcid.org/0000-0002-8972-080X,orcid.org/0000-0002-5945-0845,orcid.org/0000-0002-3734-7679,,,,Universidade Estadual de Campinas,2,Universidade Federal de Itajubá,State University of Campinas,Fábio Usberti,no info,Pedro Hokama,no info,Cid de Souza,Brazil,Integer Programming,Combinatorial Optimization,Algorithms (design and analysis),Operations Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/995664?guid=1652795255367&returnUrl=%2fresultado%2flistar%3fguid%3d1652795255367%26quantidadePaginas%3d1%26codigoRegistro%3d995664%23995664&i=1,orcid.org/0000-0002-4321-9075,orcid.org/0000-0001-5396-9868,orcid.org/0000-0001-9068-938X,,,,Universidade Estadual de Campinas,3,Universidade Estadual de Campinas,Universidade Estadual de Campinas,Adín Ramírez Rivera,Norway,Sandra Avila,no info,Eduardo Valle,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/996066?guid=1652795302685&returnUrl=%2fresultado%2flistar%3fguid%3d1652795302685%26quantidadePaginas%3d1%26codigoRegistro%3d996066%23996066&i=5,orcid.org/0000-0003-0125-630X,orcid.org/0000-0003-2956-6326,orcid.org/0000-0002-1756-4852,,,,Universidade Federal de São Paulo,4,Universidade Estadual de Campinas,University of Campinas,Helio Pedrini,Brazil,André Santanchè,no info,"Faria, Fabio A.",Brazil,,,,,image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1010150?guid=1652795376887&returnUrl=%2fresultado%2flistar%3fguid%3d1652795376887%26quantidadePaginas%3d1%26codigoRegistro%3d1010150%231010150&i=2,orcid.org/0000-0002-4830-5298,orcid.org/0000-0002-9545-2098,sem orcid,,,,Universidade Estadual de Campinas (UNICAMP),5,sem orcid,Universidade Estadual de Campinas,Maria Cecilia Calani Baranauskas,Brazil,sem orcid,sem orcid,Julio Cesar Dos Reis,no info,,,,,HCI,Socially Aware Design,Organizational Semiotics,Participatory Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1010167?guid=1652795408516&returnUrl=%2fresultado%2flistar%3fguid%3d1652795408516%26quantidadePaginas%3d1%26codigoRegistro%3d1010167%231010167&i=1,orcid.org/0000-0002-3372-3366,orcid.org/0000-0003-1495-5935,orcid.org/0000-0002-1953-9132,orcid.org/0000-0001-6305-9059,orcid.org/0000-0003-2483-6382,,University Centre Eurípides of Marília (UNIVEM),6,Universidade Federal de Ouro Preto,Universidade Estadual de Campinas,Leandro Villas,Brazil,Daniel L. Guidoni,Brazil,Leonardo Castro Botega,Brazil,,,,,,,,,,no info,Roger Immich,no info,,,,Luiz Fernando Bittencourt,no info,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,
7,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1030899?guid=1652795478247&returnUrl=%2fresultado%2flistar%3fguid%3d1652795478247%26quantidadePaginas%3d1%26codigoRegistro%3d1030899%231030899&i=1,orcid.org/0000-0003-4290-6508,orcid.org/0000-0002-8972-080X,sem orcid,,,,State University of Campinas,7,sem orcid,no info,Eliane Martins,no info,sem orcid,sem orcid,Fábio Usberti,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1022054?guid=1652795527638&returnUrl=%2fresultado%2flistar%3fguid%3d1652795527638%26quantidadePaginas%3d1%26codigoRegistro%3d1022054%231022054&i=1,orcid.org/0000-0001-5201-1244,orcid.org/0000-0001-9068-938X,orcid.org/0000-0002-3875-2211,,,,Universidade Estadual de Campinas,8,no info,no info,Jacques Wainer,Brazil,Nádia Silva,no info,Sandra Avila,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1089950?guid=1652795593881&returnUrl=%2fresultado%2flistar%3fguid%3d1652795593881%26quantidadePaginas%3d1%26codigoRegistro%3d1089950%231089950&i=2,orcid.org/0000-0003-3333-6822,orcid.org/0000-0001-6822-931X,orcid.org/0000-0003-2608-4807,,,,University of Brasilia,9,Universidade Estadual de Campinas,University of Campinas,Zanoni Dias,Brazil,Guilherme P. Telles,Brazil,Maria Emilia Walter,Brazil,bioinformatics, non-coding RNAs, genomics, transcriptomics,,,,,,,,,,,,,,, genome rearrangements,,,,,,,,,,,,,,,,,,,,,,
