,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador2_filiação,row_idx,orientador_filiação,avaliador1_filiação,orientador_nome,orientador_país,avaliador2_nome,avaliador2_país,avaliador1_nome,avaliador1_país,avaliador2_keyword_1,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,avaliador2_keyword_5,orientador_keyword_1,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_keyword_5,avaliador1_keyword_6,avaliador1_keyword_7,avaliador4_filiação,avaliador3_nome,avaliador3_país,avaliador4_nome,avaliador4_país,avaliador3_filiação,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,orientador_keyword_5,avaliador2_keyword_6,avaliador2_keyword_7,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador3_keyword_4,avaliador3_keyword_5
0,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1081295?guid=1652808998343&returnUrl=%2fresultado%2flistar%3fguid%3d1652808998343%26quantidadePaginas%3d1%26codigoRegistro%3d1081295%231081295&i=1,orcid.org/0000-0003-3333-6822,orcid.org/0000-0001-6476-4534,orcid.org/0000-0002-0472-4810,,,Universidade Estadual de Campinas,0,University of Campinas,Universidade de São Paulo,Zanoni Dias,Brazil,Rafael C. S. Schouery,no info,Mário César San Felice,Brazil,,,,,,,Approximation Algorithms,Facility Location Problems,Network Design Problems,Randomized Algorithms,Combinatorial Optimization,Online Algorithms,Competitive Analysis,,,,,,,,,,,,,,,,,
1,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1081804?guid=1652809025041&returnUrl=%2fresultado%2flistar%3fguid%3d1652809025041%26quantidadePaginas%3d1%26codigoRegistro%3d1081804%231081804&i=1,orcid.org/0000-0003-3333-6822,orcid.org/0000-0002-3734-7679,orcid.org/0000-0003-4462-3325,,,University of Campinas,1,University of Campinas,Universidade Federal de Itajubá,Zanoni Dias,Brazil,Orlando Lee,no info,Pedro Hokama,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1081926?guid=1652809854693&returnUrl=%2fresultado%2flistar%3fguid%3d1652809854693%26quantidadePaginas%3d1%26codigoRegistro%3d1081926%231081926&i=2,orcid.org/0000-0002-5564-698X,sem orcid,orcid.org/0000-0002-8803-0401,,,UNICAMP,2,University of Campinas,sem orcid,Lucas Wanner,no info,Rodolfo Azevedo,Brazil,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1089406?guid=1652809887957&returnUrl=%2fresultado%2flistar%3fguid%3d1652809887957%26quantidadePaginas%3d1%26codigoRegistro%3d1089406%231089406&i=2,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-0171-4430,orcid.org/0000-0001-9772-263X,,,Universidade Estadual de Campinas,3,University of Campinas,no info,Helio Pedrini,Brazil,Ricardo Torres,Netherlands,Otávio A. B. Penatti,no info,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,,,,,,,,
4,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1088502?guid=1652809989644&returnUrl=%2fresultado%2flistar%3fguid%3d1652809989644%26quantidadePaginas%3d1%26codigoRegistro%3d1088502%231088502&i=1,orcid.org/0000-0003-1783-4231,orcid.org/0000-0002-8588-8197,orcid.org/0000-0002-5564-698X,,,University of Campinas,4,Universidade Estadual de Campinas,Universidade Estadual de Maringá,Edson Borin,no info,Lucas Wanner,no info,SILVA A F,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1060991?guid=1652810020719&returnUrl=%2fresultado%2flistar%3fguid%3d1652810020719%26quantidadePaginas%3d1%26codigoRegistro%3d1060991%231060991&i=2,orcid.org/0000-0002-0323-9207,sem orcid,orcid.org/0000-0002-4515-2521,orcid.org/0000-0001-5814-7847,orcid.org/0000-0003-0037-5972,Universidade de São Paulo,5,Universidade Estadual de Campinas,sem orcid,Antonio Carlos Rodrigues de Amorim,Brazil,Hugo Fernando Salinas Fortes Junior,Brazil,sem orcid,sem orcid,art,design,water,nature,communication,Currículo e estudos audiovisuais; cinema e filosofia da diferença,,,,,,,,Universidade Estadual de Campinas,Susana Oliveira Dias,no info,Marta Luiza Strambi,no info,Universidade Estadual de Campinas,,,,,,,,,,,
6,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1089548?guid=1652810072374&returnUrl=%2fresultado%2flistar%3fguid%3d1652810072374%26quantidadePaginas%3d1%26codigoRegistro%3d1089548%231089548&i=2,orcid.org/0000-0002-0472-4810,orcid.org/0000-0002-1649-6843,orcid.org/0000-0001-6030-2682,,,University of Campinas,6,Universidade Estadual de Campinas,Universidade Federal de São Paulo,Rafael C. S. Schouery,no info,Eduardo C. Xavier,Brazil,Kelly Poldi,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1090831?guid=1652810103206&returnUrl=%2fresultado%2flistar%3fguid%3d1652810103206%26quantidadePaginas%3d1%26codigoRegistro%3d1090831%231090831&i=1,orcid.org/0000-0002-0472-4810,orcid.org/0000-0003-4462-3325,orcid.org/0000-0003-0602-6298,,,Universidade Federal do ABC,7,Universidade Estadual de Campinas,University of Campinas,Rafael C. S. Schouery,no info,Carla Negri Lintzmayer,Brazil,Orlando Lee,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1090300?guid=1652810127488&returnUrl=%2fresultado%2flistar%3fguid%3d1652810127488%26quantidadePaginas%3d1%26codigoRegistro%3d1090300%231090300&i=1,orcid.org/0000-0002-0472-4810,orcid.org/0000-0002-8972-080X,orcid.org/0000-0002-3734-7679,,,Universidade Federal de Itajubá,8,Universidade Estadual de Campinas,State University of Campinas,Rafael C. S. Schouery,no info,Pedro Hokama,no info,Fábio Usberti,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1091632?guid=1652810156960&returnUrl=%2fresultado%2flistar%3fguid%3d1652810156960%26quantidadePaginas%3d1%26codigoRegistro%3d1091632%231091632&i=1,orcid.org/0000-0003-2046-602X,orcid.org/0000-0002-5227-9221,orcid.org/0000-0002-1180-2637,,,UNICAMP - University of Campinas,9,Universidade Estadual de Campinas,Federal University of Technology – Paraná,Nelson L. S. da Fonseca,no info,Edmundo Madeira,no info,Juliana de Santi,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
