,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador1_filiação,row_idx,avaliador1_nome,avaliador1_país,orientador_nome,orientador_país,avaliador2_filiação,orientador_filiação,orientador_keyword_1,avaliador2_nome,avaliador2_país,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_keyword_5,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,orientador_keyword_5,avaliador2_keyword_1,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,avaliador4_filiação,avaliador3_nome,avaliador3_país,avaliador3_filiação,avaliador4_nome,avaliador4_país,avaliador2_keyword_5,avaliador1_keyword_6,avaliador2_keyword_6,avaliador2_keyword_7,avaliador1_keyword_7,avaliador1_keyword_8,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador3_keyword_4,avaliador3_keyword_5,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador4_keyword_5,avaliador4_keyword_6,avaliador3_keyword_6
0,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1126943?guid=1652812696474&returnUrl=%2fresultado%2flistar%3fguid%3d1652812696474%26quantidadePaginas%3d1%26codigoRegistro%3d1126943%231126943&i=3,orcid.org/0000-0002-3372-3366,orcid.org/0000-0002-1180-2637,orcid.org/0000-0003-4523-6466,,,UNICAMP - University of Campinas,0,Edmundo Madeira,no info,Leandro Villas,Brazil,Universidade Federal de Alagoas,Universidade Estadual de Campinas,,Heitor S. Ramos,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1128707?guid=1652812735276&returnUrl=%2fresultado%2flistar%3fguid%3d1652812735276%26quantidadePaginas%3d1%26codigoRegistro%3d1128707%231128707&i=1,orcid.org/0000-0002-8603-699X,orcid.org/0000-0001-6816-208X,orcid.org/0000-0002-5564-698X,,,no info,1,Kalinka Branco,no info,Juliana Freitag Borin,Brazil,University of Campinas,University of Campinas,Internet of Things,Lucas Wanner,no info,,,,,, Smart Cities, Computer network protocols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1128689?guid=1652812777116&returnUrl=%2fresultado%2flistar%3fguid%3d1652812777116%26quantidadePaginas%3d1%26codigoRegistro%3d1128689%231128689&i=1,orcid.org/0000-0003-0125-630X,sem orcid,orcid.org/0000-0003-0467-3133,,,sem orcid,2,sem orcid,sem orcid,Helio Pedrini,Brazil,Universidade Estadual de Campinas,University of Campinas,image and video processing; machine learning; computer vision,Esther Luna Colombini,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1127108?guid=1652812837643&returnUrl=%2fresultado%2flistar%3fguid%3d1652812837643%26quantidadePaginas%3d1%26codigoRegistro%3d1127108%231127108&i=1,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-0512-506X,orcid.org/0000-0001-8597-4987,,,no info,3,Alexandre Ferreira,no info,Helio Pedrini,Brazil,Universidade Federal do ABC,University of Campinas,image and video processing; machine learning; computer vision,Ronaldo Prati,no info,,,,,,,,,,data mining, machine learning, artificial intelligence,,,,,,,,,,,,,,,,,,,,,,,,,
4,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1128679?guid=1652812867615&returnUrl=%2fresultado%2flistar%3fguid%3d1652812867615%26quantidadePaginas%3d1%26codigoRegistro%3d1128679%231128679&i=2,orcid.org/0000-0003-0125-630X,orcid.org/0000-0003-2608-4807,orcid.org/0000-0002-7006-1621,,,Universidade Estadual de Campinas,4,Guilherme P. Telles,Brazil,Helio Pedrini,Brazil,no info,University of Campinas,image and video processing; machine learning; computer vision,Rodrigo Mologni Gonçalves dos Santos,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1129306?guid=1652812901351&returnUrl=%2fresultado%2flistar%3fguid%3d1652812901351%26quantidadePaginas%3d1%26codigoRegistro%3d1129306%231129306&i=2,orcid.org/0000-0002-1756-4852,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-8746-1680,,,University of Campinas,5,Helio Pedrini,Brazil,André Santanchè,no info,"University of Groningen, University Medical Center Groningen",Universidade Estadual de Campinas,,Dario Cecilio-Fernandes,Brazil,image and video processing; machine learning; computer vision,,,,,,,,,Cognitive Psychology,Medical Education,Assessment,Psychometric,,,,,,,,,,,,,,,,,,,,,,,,
6,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1127261?guid=1652812931931&returnUrl=%2fresultado%2flistar%3fguid%3d1652812931931%26quantidadePaginas%3d1%26codigoRegistro%3d1127261%231127261&i=1,orcid.org/0000-0002-9545-2098,orcid.org/0000-0001-9772-263X,sem orcid,,,Universidade Estadual de Campinas,6,Ricardo Torres,Netherlands,Julio Cesar Dos Reis,no info,sem orcid,Universidade Estadual de Campinas (UNICAMP),,sem orcid,sem orcid,multimedia retrieval,multimedia classification,machine learning,information visualization,data science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1129083?guid=1652812966440&returnUrl=%2fresultado%2flistar%3fguid%3d1652812966440%26quantidadePaginas%3d1%26codigoRegistro%3d1129083%231129083&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0003-2277-4632,orcid.org/0000-0001-7266-9211,,,no info,7,Rodrigo Minetto,no info,Ricardo Torres,Netherlands,Newcastle University,Universidade Estadual de Campinas,multimedia retrieval,Marcos Cirne,no info,,,,,,multimedia classification,machine learning,information visualization,data science,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1128918?guid=1652812985676&returnUrl=%2fresultado%2flistar%3fguid%3d1652812985676%26quantidadePaginas%3d1%26codigoRegistro%3d1128918%231128918&i=1,orcid.org/0000-0001-9772-263X,orcid.org/0000-0003-2277-4632,orcid.org/0000-0002-0512-506X,,,no info,8,Rodrigo Minetto,no info,Ricardo Torres,Netherlands,no info,Universidade Estadual de Campinas,multimedia retrieval,Alexandre Ferreira,no info,,,,,,multimedia classification,machine learning,information visualization,data science,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1129149?guid=1652813016948&returnUrl=%2fresultado%2flistar%3fguid%3d1652813016948%26quantidadePaginas%3d1%26codigoRegistro%3d1129149%231129149&i=1,orcid.org/0000-0001-5201-1244,orcid.org/0000-0003-0125-630X,orcid.org/0000-0001-7509-5532,,,University of Campinas,9,Helio Pedrini,Brazil,Jacques Wainer,Brazil,Universidade Federal do ABC,no info,,Jesús P. Mena-Chalco,no info,image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
