,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador2_filiação,row_idx,orientador_filiação,avaliador2_nome,avaliador2_país,orientador_nome,orientador_país,avaliador1_nome,avaliador1_país,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_keyword_5,avaliador1_filiação,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,avaliador2_keyword_1,avaliador4_filiação,avaliador3_filiação,avaliador3_nome,avaliador3_país,avaliador4_nome,avaliador4_país,avaliador1_keyword_6,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,avaliador2_keyword_5,avaliador2_keyword_6,avaliador1_keyword_7,orientador_keyword_4,orientador_keyword_5,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador3_keyword_4,avaliador4_keyword_1,avaliador3_keyword_5,avaliador3_keyword_6,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador4_keyword_5,avaliador4_keyword_6,avaliador4_keyword_7
0,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1161715,orcid.org/0000-0002-1180-2637,orcid.org/0000-0003-1119-2450,sem orcid,,,sem orcid,0,UNICAMP - University of Campinas,sem orcid,sem orcid,Edmundo Madeira,no info,Denis Rosário,Brazil,Fog Computing,Mobility,Quality of Experience,VANET,FANET,Federal University of Pará,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1166311,orcid.org/0000-0002-3823-8941,orcid.org/0000-0003-0678-4777,orcid.org/0000-0003-4290-6508,,,no info,1,University of Campinas,Eliane Martins,no info,Luiz Eduardo Buzato,Brazil,Regina Moraes,Brazil,,,,,,University of Campinas,distributed systems,distributed algorithms,fault tolerance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1164461,orcid.org/0000-0003-0467-3133,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-7735-5630,,,Universidade Federal do Rio Grande do Norte,2,Universidade Estadual de Campinas,"Gonçalves, Luiz M. G.",Brazil,Esther Luna Colombini,no info,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,,,,,University of Campinas,,,,Robotics Vision,,,,,,,, Computer Graphics, Image Processing,,,,,,,,,,,,,,,,,,,
3,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1162078,orcid.org/0000-0002-4236-8212,orcid.org/0000-0002-6494-7514,orcid.org/0000-0002-9545-2098,,,Universidade Estadual de Campinas (UNICAMP),3,Universidade Estadual de Campinas,Julio Cesar Dos Reis,no info,Anderson Rocha,Brazil,João Paulo Papa,no info,machine learning, image processing, computervision, meta-heuristics,,no info,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1164252,orcid.org/0000-0002-9545-2098,orcid.org/0000-0003-3441-0887,orcid.org/0000-0003-0125-630X,,,University of Campinas,4,Universidade Estadual de Campinas (UNICAMP),Helio Pedrini,Brazil,Julio Cesar Dos Reis,no info,Rodrigo Bonacin,no info,,,,,,Centro de Tecnologia da Informação Renato Archer,,,,image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1164477,orcid.org/0000-0002-9545-2098,sem orcid,orcid.org/0000-0002-7603-9695,,,Universidade Estadual de Campinas,5,Universidade Estadual de Campinas (UNICAMP),Leonardo Montecchi,Norway,Julio Cesar Dos Reis,no info,sem orcid,sem orcid,,,,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1164703,orcid.org/0000-0003-1783-4231,orcid.org/0000-0002-6494-7514,orcid.org/0000-0002-3831-5230,,,Universidade Federal Fluminense,6,Universidade Estadual de Campinas,Lúcia Drummond,no info,Edson Borin,no info,João Paulo Papa,no info,machine learning, image processing, computervision, meta-heuristics,,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1164594,orcid.org/0000-0002-9545-2098,orcid.org/0000-0002-1884-8830,orcid.org/0000-0003-3355-3966,,,no info,7,Universidade Estadual de Campinas (UNICAMP),Diego Addan Gonçalves,no info,Julio Cesar Dos Reis,no info,Flávia Linhalis,Brazil,,,,,,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1242940,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1164583,orcid.org/0000-0002-5564-698X,orcid.org/0000-0001-5191-5209,orcid.org/0000-0002-8803-0401,,,UNICAMP,9,University of Campinas,Rodolfo Azevedo,Brazil,Lucas Wanner,no info,Alba Cristina Magalhaes Alves de Melo,Brazil,,,,,,Universidade de Brasília,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
