,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,orientador_filiação,row_idx,avaliador1_filiação,avaliador2_filiação,avaliador1_nome,avaliador1_país,orientador_nome,orientador_país,orientador_keyword_1,orientador_keyword_2,avaliador2_nome,avaliador2_país,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_keyword_5,avaliador2_keyword_1,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,orientador_keyword_3,avaliador4_filiação,avaliador3_nome,avaliador3_país,avaliador4_nome,avaliador4_país,avaliador3_filiação,avaliador2_keyword_5,avaliador2_keyword_6,avaliador2_keyword_7,avaliador2_keyword_8,orientador_keyword_4,avaliador1_keyword_6,avaliador1_keyword_7,orientador_keyword_5,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador3_keyword_4,avaliador3_keyword_5
0,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1260802,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-9318-7956,orcid.org/0000-0002-1756-4852,,,University of Campinas,0,no info,Universidade Estadual de Campinas,Antonio Carlos Aloise,no info,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,,André Santanchè,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1241594,orcid.org/0000-0003-1783-4231,sem orcid,orcid.org/0000-0002-4531-1473,,,Universidade Estadual de Campinas,1,sem orcid,Universidade Estadual de Campinas,sem orcid,sem orcid,Edson Borin,no info,,,Breno Bernard Nicolau de França,Brazil,,,,,,Empirical Software Engineering,Continuous Software Engineering,Software Architecture,,,,,,,,,,,,,,,,,,,,,,,,,
2,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1239069,orcid.org/0000-0002-4531-1473,orcid.org/0000-0001-7598-2799,orcid.org/0000-0002-9545-2098,,,Universidade Estadual de Campinas,2,no info,Universidade Estadual de Campinas (UNICAMP),Gustavo Pinto,Brazil,Breno Bernard Nicolau de França,Brazil,Empirical Software Engineering,Continuous Software Engineering,Julio Cesar Dos Reis,no info,,,,,,,,,,Software Architecture,,,,,,,,,,,,,,,,,,,,,,,
3,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1241978,orcid.org/0000-0002-4321-9075,orcid.org/0000-0003-0125-630X,orcid.org/0000-0001-5396-9868,,,Universidade Estadual de Campinas,3,University of Campinas,Universidade Estadual de Campinas,Helio Pedrini,Brazil,Adín Ramírez Rivera,Norway,,,Eduardo Valle,Brazil,image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1241300,orcid.org/0000-0002-7002-875X,orcid.org/0000-0002-6044-4012,orcid.org/0000-0001-9068-938X,,,University of Campinas,4,no info,Universidade Estadual de Campinas,Nuno Antunes,Portugal,Ricardo Dahab,Brazil,Cryptography, Graph Theory,Sandra Avila,no info,Security; Dependable Systems; Cloud Security; Software Vulnerabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1242931,orcid.org/0000-0001-9068-938X,orcid.org/0000-0003-0125-630X,orcid.org/0000-0003-2112-4806,,,Universidade Estadual de Campinas,5,University of Campinas,no info,Helio Pedrini,Brazil,Sandra Avila,no info,,,Cristina Vasconcelos,no info,image and video processing; machine learning; computer vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1242951,orcid.org/0000-0002-1756-4852,sem orcid,orcid.org/0000-0002-9545-2098,,,Universidade Estadual de Campinas,6,sem orcid,Universidade Estadual de Campinas (UNICAMP),sem orcid,sem orcid,André Santanchè,no info,,,Julio Cesar Dos Reis,no info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1243028,orcid.org/0000-0002-9545-2098,orcid.org/0000-0002-0512-506X,orcid.org/0000-0001-6994-8076,,,Universidade Estadual de Campinas (UNICAMP),7,no info,Federal University of Technology – Paraná,Alexandre Ferreira,no info,Julio Cesar Dos Reis,no info,,,Thiago Henrique Silva,Brazil,,,,,,Data Mining, Machine  Learning, Social Networks, Urban Computing,,,,,,,,,,,,,,,,,,,,,,,,
8,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1243332,orcid.org/0000-0002-6023-5982,orcid.org/0000-0001-8657-3800,orcid.org/0000-0002-8603-699X,,,University of Campinas,8,Universidade da Beira Interior,University of Campinas,Joel Rodrigues,Brazil,Islene Calciolari Garcia,no info,,,Juliana Freitag Borin,Brazil,Sensor networks and IoT,e-health technologies, Vehicular communications, mobile and cloud computing, Mobile and ubiquitous computing,Internet of Things, Smart Cities, Computer network protocols,,,,,,,,,,,,,,,,,,,,,,,,,
9,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1242638,orcid.org/0000-0003-4462-3325,orcid.org/0000-0003-1381-4794,sem orcid,,,University of Campinas,9,University of Sao Paulo,sem orcid,Maycon Sambinelli,no info,Orlando Lee,no info,,,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
