,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5,avaliador6,avaliador2_filiação,row_idx,orientador_filiação,avaliador2_nome,avaliador2_país,avaliador2_keyword_1,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,avaliador1_nome,avaliador1_país,orientador_nome,orientador_país,orientador_keyword_1,avaliador1_filiação,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_keyword_5,avaliador6_filiação,avaliador5_filiação,avaliador4_nome,avaliador4_país,avaliador4_filiação,avaliador5_nome,avaliador5_país,avaliador6_nome,avaliador6_país,avaliador3_filiação,avaliador3_nome,avaliador3_país,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,avaliador2_keyword_5,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador3_keyword_4,avaliador1_keyword_6,avaliador1_keyword_7,avaliador1_keyword_8,avaliador1_keyword_9,avaliador1_keyword_10,avaliador1_keyword_11,avaliador2_keyword_6,orientador_keyword_5,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador3_keyword_5,avaliador4_keyword_4,avaliador4_keyword_5,avaliador3_keyword_6,avaliador3_keyword_7,avaliador5_keyword_1,avaliador5_keyword_2,avaliador5_keyword_3,avaliador5_keyword_4,avaliador3_keyword_8,avaliador3_keyword_9,avaliador3_keyword_10,avaliador3_keyword_11,avaliador3_keyword_12,avaliador3_keyword_13
0,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1384597,orcid.org/0000-0003-4869-5190,sem orcid,orcid.org/0000-0001-8824-3055,,,,,"Universidade Estadual Paulista, Instituto de Geociências e Ciências Exatas",0,Universidade Estadual de Campinas,Alexandro Baldassin,Brazil,Computer architecture,Parallel Programming,Transactional Memory,Persistent Memory,sem orcid,sem orcid,Guido Araujo,no info,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1089524,orcid.org/0000-0001-7810-0595,orcid.org/0000-0001-8837-5912,orcid.org/0000-0001-9584-9477,,,,,Universidade Estadual de Campinas Faculdade de Odontologia de Piracicaba,1,Universidade Federal de Uberlândia,"Cortellazzi, KL",no info,,,,,Manoelito Ferreira Silva Junior,Brazil,"BULGARELI, J V",no info,,Universidade Estadual de Ponta Grossa - Campus Uvaranas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1379182,orcid.org/0000-0003-4869-5190,sem orcid,orcid.org/0000-0002-9539-6874,,,,,Universidade Estadual de Campinas,2,Universidade Estadual de Campinas,Sandro Rigo,Brazil,Computer Architecture,Compilers,Code Optimization,High-Performance Computing,sem orcid,sem orcid,Guido Araujo,no info,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1394327,orcid.org/0000-0003-0125-630X,orcid.org/0000-0002-0173-4140,orcid.org/0000-0002-8253-9004,,,,,no info,3,University of Campinas,Helena Maia,no info,,,,,César Beltrán Castañón,Peru,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,Pontificia Universidad Católica del Perú,Machine Learning, Pattern Recognition, Computer Vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1393130,orcid.org/0000-0002-1756-4852,orcid.org/0000-0002-4701-2821,orcid.org/0000-0002-8803-0401,,,,,UNICAMP,4,Universidade Estadual de Campinas,Rodolfo Azevedo,Brazil,,,,,FÁBIO FERRENTINI SAMPAIO,no info,André Santanchè,no info,,Instituto Politécnico de Setúbal Escola Superior de Tecnologia de Setúbal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1395639,orcid.org/0000-0002-1756-4852,orcid.org/0000-0003-2918-9778,orcid.org/0000-0002-1445-1238,,,,,Universidade Estadual de Campinas (UNICAMP),5,Universidade Estadual de Campinas,Emanuel Felipe Duarte,Brazil,,,,,Rafaela Batista dos Santos Pedrosa,Brazil,André Santanchè,no info,,State University of Campinas - Clinic Hospital,Nursing,Behavior,Evidence-Based Nursing,Tissue and Organ Procurement ,Adult Health ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1394515,orcid.org/0000-0001-5201-1244,orcid.org/0000-0002-3754-9115,orcid.org/0000-0001-8597-4987,,,,,Universidade Federal do ABC,6,Universidade Estadual de Campinas (UNICAMP),Ronaldo Prati,no info,data mining, machine learning, artificial intelligence,,Marcelo Reis,no info,Jacques Wainer,Brazil,,Instituto Butantan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1397411,orcid.org/0000-0003-0499-2564,orcid.org/0000-0001-9068-938X,sem orcid,,,,,sem orcid,7,Universidade Estadual de Campinas (UNICAMP),sem orcid,sem orcid,,,,,Sandra Avila,no info,Marcos M. Raimundo,no info,,Universidade Estadual de Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1398308,orcid.org/0000-0003-1783-4231,sem orcid,orcid.org/0000-0002-1534-5744,,,,,Universidade Estadual de Campinas (UNICAMP),8,Universidade Estadual de Campinas,Paula Dornhofer Paro Costa,Brazil,,,,,sem orcid,sem orcid,Edson Borin,no info,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/1397017,orcid.org/0000-0002-2914-5380,orcid.org/0000-0002-3754-9115,orcid.org/0000-0003-2430-2030,,,,,Universidade Federal do Paraná,9,Universidade Estadual de Campinas,David Menotti,no info,,,,,Marcelo Reis,no info,Alexandre Falcao,Brazil,image processing,Instituto Butantan,,,,,,,,,,,,,,,,,, visualization, and analysis, (interactive) machine learning ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
