orcid,nome,genero
orcid.org/0000-0001-5015-2131,Neucimar Leite,Masculino
orcid.org/0000-0001-5103-8541,Marco Vieira,Masculino
orcid.org/0000-0001-5110-6639,Antonio Guimarães,Masculino
orcid.org/0000-0001-5122-5646,Benilton Carvalho,Masculino
orcid.org/0000-0001-5159-9517,Fábio Borges,Masculino
orcid.org/0000-0001-5201-1244,Jacques Wainer,Masculino
orcid.org/0000-0001-5203-4366,Luciano da Fontoura Costa,Masculino
orcid.org/0000-0001-5227-7165,Marcos Simplicio,Masculino
orcid.org/0000-0001-5265-8988,Patrícia Morellato,Feminino
orcid.org/0000-0001-5295-3514,Luiz Camolesi Júnior,Masculino
orcid.org/0000-0001-5378-4732,Djamel F Hadj Sadok,Masculino
orcid.org/0000-0001-5396-9868,Eduardo Valle,Masculino
orcid.org/0000-0001-5426-7083,Milton Shoiti Misuta,Masculino
orcid.org/0000-0001-5489-4909,Luiz Velho,Masculino
orcid.org/0000-0001-5493-4560,Plinio Vilela,Masculino
orcid.org/0000-0001-5501-9719,Cristiano Arbex Valle,Masculino
orcid.org/0000-0001-5597-613X,Carlos Alberto dos Reis Filho,Masculino
orcid.org/0000-0001-5604-1002,Antonio Carlos Moretti,Masculino
orcid.org/0000-0001-5615-1746,Nalvo F Almeida,Masculino
orcid.org/0000-0001-5683-693X,Luiz Henrique de Figueiredo,Masculino
orcid.org/0000-0001-5685-8004,Siome Goldenstein,Masculino
orcid.org/0000-0001-5715-149X,Rafael Martinelli,Masculino
orcid.org/0000-0001-5746-4154,Alfredo Goldman,Masculino
orcid.org/0000-0001-5804-950X,Alysson Prado,Masculino
orcid.org/0000-0001-5814-7847,Susana Oliveira Dias,Feminino
orcid.org/0000-0001-5929-593X,Pedro Munari,Masculino
orcid.org/0000-0001-5944-8246,Ricardo Ciferri,Masculino
orcid.org/0000-0001-5968-7108,Torsten Braun,Masculino
orcid.org/0000-0001-5994-6560,Niederauer Mastelari,Masculino
orcid.org/0000-0001-6030-2682,Eduardo C. Xavier,Masculino
orcid.org/0000-0001-6049-4573,Edgard Jamhour,Masculino
orcid.org/0000-0001-6112-892X,Celmar Guimarães da Silva,Masculino
orcid.org/0000-0001-6172-0229,Teofilo de Campos,Masculino
orcid.org/0000-0001-6261-1497,Marcelo Fantinato,Masculino
orcid.org/0000-0001-6305-9059,Luiz Fernando Bittencourt,Masculino
orcid.org/0000-0001-6332-0296,Yannis Velegrakis,Masculino
orcid.org/0000-0001-6342-428X,Albert Ali Salah,Masculino
orcid.org/0000-0001-6465-356X,Luiz Sérgio Carvalho,Masculino
orcid.org/0000-0001-6471-3462,Edson Norberto Caceres,Masculino
orcid.org/0000-0001-6476-4534,Mário César San Felice,Masculino
orcid.org/0000-0001-6503-8016,Lara Piccolo,Feminino
orcid.org/0000-0001-6574-341X,Arnaldo  De Albuquerque Araujo,Masculino
orcid.org/0000-0001-6627-7692,Abilio Lucena,Masculino
orcid.org/0000-0001-6809-3547,Fabio Viduani Martinez,Masculino
orcid.org/0000-0001-6816-208X,Kalinka Branco,Feminino
orcid.org/0000-0001-6822-931X,Maria Emilia Walter,Feminino
orcid.org/0000-0001-6928-0168,Marinella Sciortino,Feminino
orcid.org/0000-0001-6994-8076,Thiago Henrique Silva,Masculino
orcid.org/0000-0001-7008-4092,Marco Antonio Carvalho Filho,Masculino
orcid.org/0000-0001-7048-6585,Jeroen van de Graaf,Masculino
orcid.org/0000-0001-7093-0244,Camila Duelis Viana,Feminino
orcid.org/0000-0001-7266-9211,Marcos Cirne,Masculino
orcid.org/0000-0001-7309-4528,Anna H Reali Costa,Feminino
orcid.org/0000-0001-7358-6696,RAUL REIS AMORIM,Masculino
orcid.org/0000-0001-7412-5250,Lynda Hardman,Feminino
orcid.org/0000-0001-7434-2642,Santiago Ravelo,Masculino
orcid.org/0000-0001-7461-7570,Marjory Da Costa Abreu,Feminino
orcid.org/0000-0001-7509-5532,Jesús P. Mena-Chalco,Masculino
orcid.org/0000-0001-7598-2799,Gustavo Pinto,Masculino
orcid.org/0000-0001-7637-4293,Filipe de Oliveira Costa,Masculino
orcid.org/0000-0001-7714-2283,George D. C. Cavalcanti,Masculino
orcid.org/0000-0001-7718-8142,Guilherme Sanches,Masculino
orcid.org/0000-0001-7745-6151,Emely Pujólli da Silva,Feminino
orcid.org/0000-0001-7810-0595,JAQUELINE VILELA BULGARELI,Feminino
orcid.org/0000-0001-7878-4990,Joao Meidanis,Masculino
orcid.org/0000-0001-8002-7075,João Frederico da C. A. Meyer,Masculino
orcid.org/0000-0001-8175-8320,Laura Bahiense,Feminino
orcid.org/0000-0001-8182-5554,Leticia Rittner,Feminino
orcid.org/0000-0001-8229-3385,Afonso Paiva,Masculino
orcid.org/0000-0001-8253-2729,Alexandre L. M. Levada,Masculino
orcid.org/0000-0001-8264-5811,Maria da Graça Campos Pimentel,Feminino
orcid.org/0000-0001-8273-9439,Luidi Simonetti,Masculino
