tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador5,avaliador6,orientador_filiação,row_idx,orientador_nome,orientador_país,avaliador2_filiação,avaliador1_nome,avaliador1_país,avaliador2_nome,avaliador2_país,avaliador2_keyword_1,avaliador2_keyword_2,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,orientador_keyword_4,avaliador1_filiação,avaliador4_filiação,avaliador5_filiação,avaliador3_nome,avaliador3_país,avaliador6_nome,avaliador6_país,avaliador5_nome,avaliador5_país,avaliador3_filiação,avaliador4_nome,avaliador4_país,avaliador6_filiação,avaliador2_keyword_3,avaliador2_keyword_4,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_keyword_5,avaliador2_keyword_5,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador4_keyword_1,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador4_keyword_5,ano,orientador_keyword_5,orientador_keyword_6,avaliador6_keyword_1,avaliador6_keyword_2,avaliador6_keyword_3,avaliador6_keyword_4,avaliador3_keyword_4,avaliador3_keyword_5,avaliador1_keyword_6,avaliador4_keyword_6,avaliador2_keyword_6,avaliador2_keyword_7,avaliador2_keyword_8,avaliador2_keyword_9,avaliador2_keyword_10,avaliador2_keyword_11,avaliador2_keyword_12,avaliador2_keyword_13,avaliador1_keyword_7,avaliador6_keyword_5,avaliador1_keyword_8,avaliador1_keyword_9,avaliador1_keyword_10,avaliador1_keyword_11,avaliador3_keyword_6,avaliador4_keyword_7,avaliador3_keyword_7,avaliador5_keyword_1,avaliador5_keyword_2,avaliador5_keyword_3,avaliador5_keyword_4,avaliador3_keyword_8,avaliador3_keyword_9,avaliador3_keyword_10,avaliador3_keyword_11,avaliador3_keyword_12,avaliador3_keyword_13,orientador_genero,avaliador1_genero,avaliador2_genero,avaliador3_genero,avaliador4_genero,avaliador5_genero,avaliador6_genero
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/420825?guid=1651936552381&returnUrl=%2fresultado%2flistar%3fguid%3d1651936552381%26quantidadePaginas%3d1%26codigoRegistro%3d420825%23420825&i=1,orcid.org/0000-0002-6540-8686,sem orcid,orcid.org/0000-0002-8803-0401,,,,,University of Campinas,0,Paulo de Geus,Brazil,UNICAMP,sem orcid,sem orcid,Rodolfo Azevedo,Brazil,,,Computer Security,,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,sem orcid,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/364402?guid=1651936595480&returnUrl=%2fresultado%2flistar%3fguid%3d1651936595480%26quantidadePaginas%3d1%26codigoRegistro%3d364402%23364402&i=1,orcid.org/0000-0002-6540-8686,sem orcid,orcid.org/0000-0002-7002-875X,,,,,University of Campinas,1,Paulo de Geus,Brazil,University of Campinas,sem orcid,sem orcid,Ricardo Dahab,Brazil,Cryptography, Graph Theory,Computer Security,,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,sem orcid,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/378058?guid=1651936635269&returnUrl=%2fresultado%2flistar%3fguid%3d1651936635269%26quantidadePaginas%3d1%26codigoRegistro%3d378058%23378058&i=1,orcid.org/0000-0003-4869-5190,orcid.org/0000-0002-8803-0401,orcid.org/0000-0003-1574-0362,,,,,Universidade Estadual de Campinas,2,Guido Araujo,no info,Instituto Tecnológico de Aeronáutica,Rodolfo Azevedo,Brazil,Cesar Marcondes,Brazil,,,,,,,UNICAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,Masculino,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/364404?guid=1651936703650&returnUrl=%2fresultado%2flistar%3fguid%3d1651936703650%26quantidadePaginas%3d1%26codigoRegistro%3d364404%23364404&i=1,orcid.org/0000-0001-5685-8004,sem orcid,orcid.org/0000-0002-7002-875X,,,,,no info,3,Siome Goldenstein,no info,University of Campinas,sem orcid,sem orcid,Ricardo Dahab,Brazil,Cryptography, Graph Theory,,,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,sem orcid,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/365332?guid=1651936734921&returnUrl=%2fresultado%2flistar%3fguid%3d1651936734921%26quantidadePaginas%3d1%26codigoRegistro%3d365332%23365332&i=1,orcid.org/0000-0001-5685-8004,orcid.org/0000-0001-5489-4909,orcid.org/0000-0002-9554-1381,orcid.org/0000-0002-3159-4839,,,,no info,4,Siome Goldenstein,no info,State University of Campinas,Luiz Velho,no info,Ricardo Machado Leite de Barros,Brazil,Biomecânica,Cinesiologia,,,,,IMPA,,,Jorge Stolfi,no info,,,,,State University of Campinas,,,,Educação Física Desportiva,Biomecânica do Movimento Humano Aplicada aos Esportes,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,Masculino,Masculino,Masculino,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/364377?guid=1651936782089&returnUrl=%2fresultado%2flistar%3fguid%3d1651936782089%26quantidadePaginas%3d1%26codigoRegistro%3d364377%23364377&i=1,orcid.org/0000-0002-2914-5380,sem orcid,orcid.org/0000-0001-5685-8004,,,,,Universidade Estadual de Campinas,5,Alexandre Falcao,Brazil,no info,sem orcid,sem orcid,Siome Goldenstein,no info,,,image processing, visualization, and analysis, (interactive) machine learning ,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,sem orcid,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/364410?guid=1651936837446&returnUrl=%2fresultado%2flistar%3fguid%3d1651936837446%26quantidadePaginas%3d1%26codigoRegistro%3d364410%23364410&i=1,orcid.org/0000-0001-5201-1244,sem orcid,orcid.org/0000-0002-9554-1381,,,,,no info,6,Jacques Wainer,Brazil,State University of Campinas,sem orcid,sem orcid,Ricardo Machado Leite de Barros,Brazil,Biomecânica,Cinesiologia,,,,,sem orcid,,,,,,,,,,,,,Educação Física Desportiva,Biomecânica do Movimento Humano Aplicada aos Esportes,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,sem orcid,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/396675?guid=1651936873851&returnUrl=%2fresultado%2flistar%3fguid%3d1651936873851%26quantidadePaginas%3d1%26codigoRegistro%3d396675%23396675&i=1,orcid.org/0000-0003-2046-602X,orcid.org/0000-0002-7959-6569,orcid.org/0000-0002-6023-5982,,,,,Universidade Estadual de Campinas,7,Nelson L. S. da Fonseca,no info,University of Campinas,Célio Albuquerque,Brazil,Islene Calciolari Garcia,no info,,,,,,,Universidade Federal Fluminense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,Masculino,Feminino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/364420?guid=1651936924104&returnUrl=%2fresultado%2flistar%3fguid%3d1651936924104%26quantidadePaginas%3d1%26codigoRegistro%3d364420%23364420&i=1,sem orcid,sem orcid,orcid.org/0000-0002-8856-194X,,,,,sem orcid,8,sem orcid,sem orcid,University of Campinas,sem orcid,sem orcid,Ricardo Anido,Brazil,,,,,,,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sem orcid,sem orcid,Masculino,não anotado,não anotado,não anotado,não anotado
MESTRADO,https://repositorio.unicamp.br/acervo/detalhe/367432?guid=1651936952104&returnUrl=%2fresultado%2flistar%3fguid%3d1651936952104%26quantidadePaginas%3d1%26codigoRegistro%3d367432%23367432&i=1,orcid.org/0000-0002-8856-194X,orcid.org/0000-0001-5015-2131,orcid.org/0000-0001-8522-2056,orcid.org/0000-0001-5685-8004,,,,University of Campinas,9,Ricardo Anido,Brazil,Pontifícia Universidade Católica de Minas Gerais,Neucimar Leite,no info,Silvio GUIMARAES,Brazil,,,,,,,no info,,,Siome Goldenstein,no info,,,,,no info,,,,,,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masculino,Masculino,Masculino,Masculino,não anotado,não anotado,não anotado
